logTe log_g Mass e_Mass Age e_Age Teff
3.85 3.0 0.2446 0.0038 34.946 8.277 7079.4560546875
3.85 3.1 0.2359 0.0037 39.312 8.553 7079.4560546875
3.85 3.2 0.2274 0.0036 41.615 8.724 7079.4560546875
3.85 3.3 0.2193 0.0035 41.701 8.858 7079.4560546875
3.85 3.4 0.2114 0.0034 39.800 9.006 7079.4560546875
3.85 3.5 0.2038 0.0032 35.861 9.132 7079.4560546875
3.85 3.6 0.1950 0.0008 30.838 9.183 7079.4560546875
3.85 3.7 0.1901 0.0008 21.886 9.318 7079.4560546875
3.85 3.8 0.1871 0.0008 10.451 9.448 7079.4560546875
3.85 4.1 0.1683 0.0001 222.416 1.046 7079.4560546875
3.85 4.2 0.1621 0.0001 336.095 0.971 7079.4560546875
3.85 4.3 0.1560 0.0001 472.100 0.849 7079.4560546875
3.85 4.4 0.1698 0.0003 181.667 6.763 7079.4560546875
3.85 4.5 0.1699 0.0002 206.703 6.230 7079.4560546875
3.85 4.6 0.1666 0.0011 273.226 12.543 7079.4560546875
3.85 6.1 0.1539 0.0000 5431.619 67.773 7079.4560546875
3.85 6.5 0.1715 0.0000 3879.440 0.707 7079.4560546875
3.85 6.6 0.1646 0.0006 2299.801 23.368 7079.4560546875
3.85 6.7 0.1874 0.0030 1711.676 136.784 7079.4560546875
3.85 6.8 0.2010 0.0029 1408.117 132.672 7079.4560546875
3.85 6.9 0.2202 0.0022 1623.966 122.668 7079.4560546875
3.85 7.0 0.2381 0.0022 1822.547 260.266 7079.4560546875
3.85 7.1 0.2577 0.0021 1420.779 162.246 7079.4560546875
3.85 7.2 0.2841 0.0041 1699.142 455.318 7079.4560546875
3.85 7.3 0.3110 0.0026 1864.718 489.344 7079.4560546875
3.85 7.4 0.3417 0.0025 2022.091 116.645 7079.4560546875
3.85 7.5 0.3791 0.0040 2191.007 361.528 7079.4560546875
3.85 7.6 0.4163 0.0002 2339.807 35.799 7079.4560546875
3.86 3.0 0.2476 0.0042 22.417 25.926 7244.35791015625
3.86 3.1 0.2388 0.0039 24.277 25.395 7244.35791015625
3.86 3.2 0.2300 0.0038 25.867 20.387 7244.35791015625
3.86 3.3 0.2219 0.0036 20.352 23.346 7244.35791015625
3.86 3.4 0.2140 0.0035 23.662 19.923 7244.35791015625
3.86 3.5 0.2067 0.0033 24.368 18.699 7244.35791015625
3.86 3.6 0.1976 0.0009 35.810 9.658 7244.35791015625
3.86 3.7 0.1919 0.0009 28.902 9.775 7244.35791015625
3.86 3.8 0.1882 0.0009 19.721 9.904 7244.35791015625
3.86 3.9 0.1865 0.0009 8.681 10.026 7244.35791015625
3.86 4.4 0.1731 0.0012 132.639 13.083 7244.35791015625
3.86 4.5 0.1700 0.0011 185.777 14.124 7244.35791015625
3.86 4.6 0.1710 0.0012 230.422 15.010 7244.35791015625
3.86 4.7 0.1503 0.0010 117.027 20.745 7244.35791015625
3.86 4.8 0.1582 0.0015 1066.023 15.148 7244.35791015625
3.86 6.1 0.1218 0.0004 7389.358 161.785 7244.35791015625
3.86 6.5 0.1381 0.0009 2759.635 33.523 7244.35791015625
3.86 6.6 0.1657 0.0006 2234.150 22.754 7244.35791015625
3.86 6.7 0.1872 0.0009 1697.353 22.291 7244.35791015625
3.86 6.8 0.2031 0.0008 1282.318 23.587 7244.35791015625
3.86 6.9 0.2212 0.0005 1538.849 99.731 7244.35791015625
3.86 7.0 0.2391 0.0002 1749.139 56.461 7244.35791015625
3.86 7.1 0.2590 0.0003 1283.693 85.887 7244.35791015625
3.86 7.2 0.2820 0.0004 1203.615 101.295 7244.35791015625
3.86 7.3 0.3119 0.0007 1768.990 457.885 7244.35791015625
3.86 7.4 0.3426 0.0002 1890.308 70.760 7244.35791015625
3.86 7.5 0.3800 0.0030 2080.184 340.833 7244.35791015625
3.86 7.6 0.4171 0.0002 2226.473 33.876 7244.35791015625
3.87 3.0 0.2502 0.0046 20.955 21.407 7413.1005859375
3.87 3.1 0.2427 0.0040 26.592 21.825 7413.1005859375
3.87 3.2 0.2337 0.0039 24.729 22.647 7413.1005859375
3.87 3.3 0.2252 0.0037 23.714 23.167 7413.1005859375
3.87 3.4 0.2171 0.0036 28.076 19.110 7413.1005859375
3.87 3.5 0.2095 0.0034 27.036 19.707 7413.1005859375
3.87 3.6 0.2024 0.0031 29.337 16.892 7413.1005859375
3.87 3.7 0.1957 0.0027 29.080 14.750 7413.1005859375
3.87 3.8 0.1890 0.0026 23.953 19.820 7413.1005859375
3.87 3.9 0.1831 0.0025 22.534 18.726 7413.1005859375
3.87 4.0 0.1780 0.0024 21.929 17.995 7413.1005859375
3.87 4.1 0.1734 0.0022 12.624 13.999 7413.1005859375
3.87 4.2 0.1716 0.0014 27.403 17.142 7413.1005859375
3.87 4.3 0.1689 0.0017 34.895 17.642 7413.1005859375
3.87 4.4 0.1620 0.0012 25.878 17.475 7413.1005859375
3.87 4.5 0.1615 0.0011 64.788 19.530 7413.1005859375
3.87 4.6 0.1623 0.0010 85.517 19.664 7413.1005859375
3.87 4.7 0.1656 0.0010 68.309 19.491 7413.1005859375
3.87 4.8 0.1427 0.0008 101.490 14.245 7413.1005859375
3.87 4.9 0.1530 0.0009 71.423 14.790 7413.1005859375
3.87 5.0 0.1639 0.0009 100.050 16.357 7413.1005859375
3.87 5.1 0.1839 0.0011 280.991 18.610 7413.1005859375
3.87 6.0 0.1151 0.0003 5447.925 133.098 7413.1005859375
3.87 6.1 0.1348 0.0005 3165.620 209.014 7413.1005859375
3.87 6.2 0.1535 0.0005 7660.046 184.004 7413.1005859375
3.87 6.5 0.1351 0.0008 2626.609 28.105 7413.1005859375
3.87 6.6 0.1720 0.0011 2047.847 29.571 7413.1005859375
3.87 6.7 0.1883 0.0009 1618.898 24.336 7413.1005859375
3.87 6.8 0.2049 0.0010 1430.425 190.382 7413.1005859375
3.87 6.9 0.2223 0.0005 1452.049 84.680 7413.1005859375
3.87 7.0 0.2403 0.0002 1590.021 50.544 7413.1005859375
3.87 7.1 0.2600 0.0003 1171.316 74.034 7413.1005859375
3.87 7.2 0.2832 0.0004 1156.181 108.197 7413.1005859375
3.87 7.3 0.3129 0.0008 1673.152 427.263 7413.1005859375
3.87 7.4 0.3434 0.0002 1765.757 77.866 7413.1005859375
3.87 7.5 0.3809 0.0030 1982.744 322.987 7413.1005859375
3.87 7.6 0.4178 0.0002 2117.012 33.050 7413.1005859375
3.87 7.7 0.4334 0.0000 5907.472 6.029 7413.1005859375
3.88 3.0 0.2535 0.0050 15.145 23.459 7585.77783203125
3.88 3.1 0.2464 0.0043 25.517 23.376 7585.77783203125
3.88 3.2 0.2372 0.0041 29.245 18.855 7585.77783203125
3.88 3.3 0.2285 0.0039 31.483 17.773 7585.77783203125
3.88 3.4 0.2203 0.0037 27.811 21.478 7585.77783203125
3.88 3.5 0.2124 0.0035 32.810 20.306 7585.77783203125
3.88 3.6 0.2052 0.0033 31.929 22.240 7585.77783203125
3.88 3.7 0.1982 0.0027 33.027 20.780 7585.77783203125
3.88 3.8 0.1911 0.0026 28.671 20.158 7585.77783203125
3.88 3.9 0.1847 0.0025 25.960 20.161 7585.77783203125
3.88 4.0 0.1789 0.0024 21.857 20.572 7585.77783203125
3.88 4.1 0.1740 0.0021 17.466 20.582 7585.77783203125
3.88 4.2 0.1697 0.0019 4.868 20.236 7585.77783203125
3.88 4.7 0.1591 0.0010 29.862 20.775 7585.77783203125
3.88 4.8 0.1600 0.0009 88.227 18.110 7585.77783203125
3.88 4.9 0.1605 0.0007 105.410 17.720 7585.77783203125
3.88 5.0 0.1650 0.0007 106.411 17.954 7585.77783203125
3.88 5.1 0.1732 0.0007 121.622 16.828 7585.77783203125
3.88 5.2 0.1846 0.0008 181.022 13.230 7585.77783203125
3.88 5.3 0.1359 0.0006 2429.510 120.321 7585.77783203125
3.88 6.1 0.1515 0.0004 5777.791 286.407 7585.77783203125
3.88 6.2 0.1554 0.0004 6848.412 211.191 7585.77783203125
3.88 6.5 0.1733 0.0012 4281.765 497.987 7585.77783203125
3.88 6.6 0.1734 0.0012 1965.488 31.080 7585.77783203125
3.88 6.7 0.1895 0.0010 1542.750 26.350 7585.77783203125
3.88 6.8 0.2062 0.0009 1390.810 162.054 7585.77783203125
3.88 6.9 0.2235 0.0004 1365.853 71.295 7585.77783203125
3.88 7.0 0.2415 0.0003 1444.580 46.221 7585.77783203125
3.88 7.1 0.2610 0.0003 1067.964 65.692 7585.77783203125
3.88 7.2 0.2845 0.0004 1108.567 109.191 7585.77783203125
3.88 7.3 0.3139 0.0008 1584.574 395.699 7585.77783203125
3.88 7.4 0.3443 0.0002 1647.263 82.796 7585.77783203125
3.88 7.5 0.3818 0.0029 1867.358 294.554 7585.77783203125
3.88 7.6 0.4186 0.0002 2011.134 33.037 7585.77783203125
3.88 7.7 0.4576 0.0000 2269.357 5.372 7585.77783203125
3.89 3.0 0.2563 0.0056 14.177 19.502 7762.47314453125
3.89 3.1 0.2489 0.0047 24.320 18.697 7762.47314453125
3.89 3.2 0.2409 0.0041 28.253 21.433 7762.47314453125
3.89 3.3 0.2320 0.0040 30.392 21.668 7762.47314453125
3.89 3.4 0.2235 0.0038 32.701 23.432 7762.47314453125
3.89 3.5 0.2156 0.0036 33.603 23.949 7762.47314453125
3.89 3.6 0.2082 0.0034 40.414 23.535 7762.47314453125
3.89 3.7 0.2010 0.0028 36.449 22.842 7762.47314453125
3.89 3.8 0.1938 0.0025 32.268 21.016 7762.47314453125
3.89 3.9 0.1873 0.0023 25.654 22.223 7762.47314453125
3.89 4.0 0.1813 0.0022 17.196 22.387 7762.47314453125
3.89 4.1 0.1760 0.0021 6.543 23.320 7762.47314453125
3.89 4.9 0.1554 0.0008 8.390 15.775 7762.47314453125
3.89 5.0 0.1617 0.0006 44.627 15.939 7762.47314453125
3.89 5.1 0.1679 0.0006 70.531 16.179 7762.47314453125
3.89 5.2 0.1794 0.0006 148.166 16.031 7762.47314453125
3.89 5.3 0.1386 0.0007 2120.508 110.649 7762.47314453125
3.89 6.1 0.1533 0.0004 5241.215 320.172 7762.47314453125
3.89 6.2 0.1572 0.0004 6104.773 252.816 7762.47314453125
3.89 6.3 0.1617 0.0004 7376.649 149.701 7762.47314453125
3.89 6.5 0.1740 0.0008 4201.571 657.390 7762.47314453125
3.89 6.6 0.1823 0.0035 3586.745 736.797 7762.47314453125
3.89 6.7 0.1906 0.0010 1468.702 28.811 7762.47314453125
3.89 6.8 0.2074 0.0009 1327.003 144.964 7762.47314453125
3.89 6.9 0.2245 0.0002 1274.565 49.859 7762.47314453125
3.89 7.0 0.2427 0.0003 1313.365 45.017 7762.47314453125
3.89 7.1 0.2621 0.0003 974.352 61.974 7762.47314453125
3.89 7.2 0.2858 0.0004 1058.021 97.710 7762.47314453125
3.89 7.3 0.3149 0.0008 1498.380 358.527 7762.47314453125
3.89 7.4 0.3452 0.0002 1533.773 82.819 7762.47314453125
3.89 7.5 0.3825 0.0029 1735.349 257.397 7762.47314453125
3.89 7.6 0.4194 0.0002 1908.837 33.376 7762.47314453125
3.90 3.0 0.2597 0.0060 9.098 19.656 7943.2841796875
3.90 3.1 0.2520 0.0052 21.243 20.902 7943.2841796875
3.90 3.2 0.2446 0.0044 28.791 16.439 7943.2841796875
3.90 3.3 0.2356 0.0041 34.716 23.108 7943.2841796875
3.90 3.4 0.2269 0.0039 37.847 22.445 7943.2841796875
3.90 3.5 0.2189 0.0036 40.377 26.942 7943.2841796875
3.90 3.6 0.2115 0.0032 44.215 23.557 7943.2841796875
3.90 3.7 0.2041 0.0028 40.652 22.427 7943.2841796875
3.90 3.8 0.1973 0.0024 35.036 23.527 7943.2841796875
3.90 3.9 0.1906 0.0023 28.776 22.220 7943.2841796875
3.90 4.0 0.1844 0.0021 15.215 24.234 7943.2841796875
3.90 4.1 0.1788 0.0020 7.342 24.914 7943.2841796875
3.90 4.2 0.1736 0.0019 2.770 25.368 7943.2841796875
3.90 4.5 0.1613 0.0015 3.508 23.594 7943.2841796875
3.90 4.6 0.1570 0.0009 12.287 20.488 7943.2841796875
3.90 4.7 0.1535 0.0008 33.133 19.474 7943.2841796875
3.90 4.8 0.1508 0.0008 49.503 16.980 7943.2841796875
3.90 4.9 0.1496 0.0008 49.086 14.060 7943.2841796875
3.90 5.0 0.1502 0.0008 46.937 13.822 7943.2841796875
3.90 5.1 0.1591 0.0006 62.976 13.843 7943.2841796875
3.90 5.2 0.1418 0.0009 965.144 62.981 7943.2841796875
3.90 5.3 0.1411 0.0006 1273.933 73.520 7943.2841796875
3.90 5.4 0.1425 0.0004 255.828 268.105 7943.2841796875
3.90 5.9 0.1548 0.0000 6326.540 17.879 7943.2841796875
3.90 6.0 0.1514 0.0001 4456.136 249.450 7943.2841796875
3.90 6.1 0.1550 0.0004 4802.191 335.289 7943.2841796875
3.90 6.2 0.1590 0.0004 5456.913 291.754 7943.2841796875
3.90 6.3 0.1639 0.0006 6460.178 192.185 7943.2841796875
3.90 6.4 0.1692 0.0004 7771.155 138.841 7943.2841796875
3.90 6.5 0.1757 0.0010 4704.560 847.022 7943.2841796875
3.90 6.6 0.1849 0.0032 3616.055 664.157 7943.2841796875
3.90 6.7 0.1918 0.0011 1396.358 31.216 7943.2841796875
3.90 6.8 0.2087 0.0009 1264.085 132.755 7943.2841796875
3.90 6.9 0.2257 0.0001 1205.041 49.574 7943.2841796875
3.90 7.0 0.2439 0.0003 1195.969 47.418 7943.2841796875
3.90 7.1 0.2631 0.0004 890.126 63.395 7943.2841796875
3.90 7.2 0.2871 0.0005 1006.714 80.213 7943.2841796875
3.90 7.3 0.3160 0.0009 1393.462 320.619 7943.2841796875
3.90 7.4 0.3461 0.0002 1421.772 70.971 7943.2841796875
3.90 7.5 0.3833 0.0029 1625.681 232.266 7943.2841796875
3.90 7.6 0.4202 0.0002 1809.603 33.390 7943.2841796875
3.91 3.0 0.2633 0.0067 6.131 5.042 8128.306640625
3.91 3.1 0.2554 0.0058 15.714 21.265 8128.306640625
3.91 3.2 0.2481 0.0047 26.862 15.928 8128.306640625
3.91 3.3 0.2397 0.0042 36.058 24.662 8128.306640625
3.91 3.4 0.2308 0.0040 39.297 22.858 8128.306640625
3.91 3.5 0.2225 0.0036 47.491 24.089 8128.306640625
3.91 3.6 0.2148 0.0032 45.468 24.512 8128.306640625
3.91 3.7 0.2076 0.0028 40.963 23.111 8128.306640625
3.91 3.8 0.2010 0.0023 39.624 23.331 8128.306640625
3.91 3.9 0.1941 0.0022 28.531 24.120 8128.306640625
3.91 4.0 0.1877 0.0020 19.181 25.474 8128.306640625
3.91 4.1 0.1819 0.0019 15.018 26.962 8128.306640625
3.91 4.2 0.1765 0.0018 11.533 27.339 8128.306640625
3.91 4.3 0.1716 0.0016 10.031 26.564 8128.306640625
3.91 4.4 0.1674 0.0013 19.133 27.181 8128.306640625
3.91 4.5 0.1632 0.0013 30.495 24.938 8128.306640625
3.91 4.6 0.1595 0.0008 49.302 22.475 8128.306640625
3.91 4.7 0.1557 0.0008 78.605 19.903 8128.306640625
3.91 4.8 0.1525 0.0008 114.225 18.112 8128.306640625
3.91 4.9 0.1500 0.0008 151.756 15.391 8128.306640625
3.91 5.0 0.1489 0.0007 179.013 14.133 8128.306640625
3.91 5.1 0.1499 0.0007 216.441 12.965 8128.306640625
3.91 5.2 0.1441 0.0007 863.500 50.400 8128.306640625
3.91 5.3 0.1433 0.0006 1496.890 83.820 8128.306640625
3.91 5.4 0.1433 0.0004 1061.214 250.635 8128.306640625
3.91 5.8 0.1552 0.0000 5718.962 15.540 8128.306640625
3.91 5.9 0.1554 0.0000 4998.846 13.185 8128.306640625
