LOGL LOGTEFF T_c Ro_c Hc Hec Con_s Con_c LogedadMyr Mass Mdot modelo LogLpp LogLcno LogLHe LogLCC intdSdt LogLnu Log_MHtot Log_HeBuf Masa_HFC Masa_HeFC log_g RR_sun LHergs SepFaseergs Teff Age
3.219828 5.598943 2.382898 7.961835 0.0 0.0 0.0 0.0 2.292122251201715 1.15919 -33.0 897020 -99.0 -99.0 -99.0 -99.0 21083.15 4.2881522 -5.7506559 -3.999404 1.1591814 1.1585626 8.6331382 0.0085973 0.0 -0.0 397139.4225518456 0.0
3.216212 5.598107 2.382824 7.961698 0.0 0.0 0.0 0.0 2.292122251327708 1.15919 -33.0 897021 -99.0 -99.0 -99.0 -99.0 21063.38 4.2880182 -5.7506559 -3.999404 1.1591814 1.1585626 8.6334103 0.0085946 0.0 -0.0 396375.67992044525 5.684395887328719e-08
3.161618 5.598788 2.382474 7.961457 0.0 0.0 0.0 0.0 2.292122256949953 1.15919 -33.0 897120 -99.0 -99.0 -99.0 -99.0 20801.29 4.2865206 -inf -3.9869401 1.1591853 1.1585464 8.6907256 0.0080458 0.0 -0.0 396997.7085085671 2.593418940932679e-06
3.154378 5.597096 2.382454 7.961511 0.0 0.0 0.0 0.0 2.292122258062225 1.15919 -33.0 897121 -99.0 -99.0 -99.0 -99.0 20774.76 4.2864667 -inf -3.9869579 1.1591853 1.1585464 8.6911979 0.0080414 0.0 -0.0 395454.02479552024 3.095240089123763e-06
3.146575 5.595266 2.382381 7.961484 0.0 0.0 0.0 0.0 2.292122259396952 1.15919 -33.0 897122 -99.0 -99.0 -99.0 -99.0 20736.94 4.2861907 -inf -3.9869775 1.1591853 1.1585464 8.691683 0.0080369 0.0 -0.0 393791.1938441213 3.697425711379765e-06
3.138241 5.593323 2.382343 7.961542 0.0 0.0 0.0 0.0 2.292122260998624 1.15919 -33.0 897123 -99.0 -99.0 -99.0 -99.0 20704.77 4.2860695 -inf -3.9869989 1.1591853 1.1585464 8.6922429 0.0080318 0.0 -0.0 392033.3376181463 4.4200483841905225e-06
3.129275 5.591226 2.382247 7.961521 0.0 0.0 0.0 0.0 2.29212226292063 1.15919 -33.0 897124 -99.0 -99.0 -99.0 -99.0 20660.7 4.2857136 -inf -3.9870217 1.1591853 1.1585464 8.6928211 0.0080264 0.0 -0.0 390144.9591446765 5.287195335768047e-06
3.119741 5.589006 2.382182 7.961587 0.0 0.0 0.0 0.0 2.292122265227037 1.15919 -33.0 897125 -99.0 -99.0 -99.0 -99.0 20621.68 4.2854972 -inf -3.9870463 1.1591853 1.1585464 8.6934775 0.0080204 0.0 -0.0 388155.728523171 6.327771615133315e-06
3.109578 5.586635 2.382054 7.961574 0.0 0.0 0.0 0.0 2.292122267994726 1.15919 -33.0 897126 -99.0 -99.0 -99.0 -99.0 20570.17 4.2850272 -inf -3.9870721 1.1591853 1.1585464 8.6941536 0.0080141 0.0 -0.0 386042.3938328605 7.576463247005449e-06
3.098898 5.584153 2.38195 7.961651 0.0 0.0 0.0 0.0 2.292122271315952 1.15919 -33.0 897127 -99.0 -99.0 -99.0 -99.0 20523.08 4.2846739 -inf -3.9870996 1.1591853 1.1585431 8.6949074 0.0080072 0.0 -0.0 383842.44764971954 9.074892972193993e-06
3.08768 5.581542 2.381776 7.961651 0.0 0.0 0.0 0.0 2.292122275301424 1.15919 -33.0 897128 -99.0 -99.0 -99.0 -99.0 20462.79 4.2840397 -inf -3.9871281 1.1591853 1.1585464 8.6956792 0.008 0.0 -0.0 381541.69084810966 1.087300904600852e-05
3.07606 5.578848 2.381616 7.961743 0.0 0.0 0.0 0.0 2.29212228008399 1.15919 -33.0 897129 -99.0 -99.0 -99.0 -99.0 20405.97 4.2834898 -inf -3.987158 1.1591853 1.1585431 8.6965262 0.0079922 0.0 -0.0 379182.25063852407 1.3030748334585951e-05
3.207985 5.64181 2.499343 8.212399 0.0 0.0 0.0 0.0 2.292122283858332 1.22573 -33.0 897040 -99.0 -99.0 -99.0 -99.0 89494.39 4.9438518 -inf -5.227336 1.2257318 1.2254599 8.8406886 0.0069616 0.0 -0.0 438338.88642890216 1.4733609276618154e-05
3.207885 5.641784 2.499321 8.212368 0.0 0.0 0.0 0.0 2.292122283899566 1.22573 -33.0 897041 -99.0 -99.0 -99.0 -99.0 89474.6 4.9437562 -inf -5.2274101 1.2257318 1.2254599 8.8406843 0.0069616 0.0 -0.0 438312.64508718305 1.4752212791790953e-05
3.207796 5.641766 2.499329 8.212402 0.0 0.0 0.0 0.0 2.292122283949046 1.22573 -33.0 897042 -99.0 -99.0 -99.0 -99.0 89484.77 4.9438078 -inf -5.2274612 1.2257318 1.2254598 8.8407045 0.0069615 0.0 -0.0 438294.47892471944 1.4774536566619645e-05
3.207664 5.641733 2.499304 8.212373 0.0 0.0 0.0 0.0 2.292122284005317 1.22573 -33.0 897043 -99.0 -99.0 -99.0 -99.0 89464.13 4.9437085 -inf -5.2275086 1.2257318 1.2254598 8.8407023 0.0069615 0.0 -0.0 438261.17624898726 1.4799924201724934e-05
