teff FUV NUV G3 G3_BP G3_RP U B V R I u g r i z J H Ks W1 W2 W3 H1 H2 H3 H4
100.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 1.8970778610029374e-41 6.9022945304295065e-31 2.401389152067559e-23 7.953099984137069e-14 6.009621134062115e-10 0.0006028683856129646 0.0 0.0 0.0 0.0
150.0 0.0 0.0 7.066811830592271e-37 0.0 3.333890385192094e-36 0.0 0.0 0.0 1.4735073741914749e-40 5.010745679913991e-32 0.0 0.0 0.0 7.006492321624085e-45 2.629473874436433e-34 4.000047409820239e-26 4.3108075598561204e-19 3.628559380589903e-14 3.726238162471418e-08 9.303088518208824e-06 0.01860177144408226 0.0 0.0 0.0 0.0
200.0 0.0 0.0 1.011836137867224e-26 2.360347133308722e-41 3.9708968423307847e-26 0.0 0.0 1.0865786001445635e-38 1.8776604223763693e-29 4.412181084435262e-23 0.0 0.0 1.006729250531021e-39 2.69699869641858e-32 9.866072321307048e-25 2.5078453539576568e-18 3.838955791712201e-13 1.54908963434508e-09 2.7809843231807463e-05 0.0012646038085222244 0.1147511824965477 0.0 0.0 0.0 0.0
250.0 0.0 0.0 1.46724198455405e-20 6.853226104842002e-32 5.43575535684628e-20 0.0 3.5928591976056147e-40 4.443791824074543e-30 9.933342829430222e-23 1.1874655803592768e-17 0.0 1.8864448082556406e-39 1.3063469024925461e-30 1.1843120452352605e-24 6.69217756684109e-19 1.3105044393418863e-13 1.5171659484281008e-09 9.719045692690997e-07 0.001539135235361755 0.025090904906392097 0.36219069361686707 0.0 0.0 0.0 0.0
300.0 0.0 0.0 2.0980589204460293e-16 1.4841250664112643e-25 7.567957215866619e-16 7.006492321624085e-45 1.4500682314656775e-32 2.5840267021608708e-24 3.3465833340292753e-18 5.510637112642394e-14 1.401298464324817e-45 5.862069839379789e-32 1.800289251304043e-24 1.5778130264916032e-19 5.996078470977412e-15 1.9185297794876988e-10 3.934213737011305e-07 7.292630471056327e-05 0.02293247915804386 0.18765081465244293 0.8067905902862549 0.0 0.0 0.0 0.0
350.0 0.0 0.0 2.1120872249497796e-13 5.176666717799473e-21 7.452892469839156e-13 1.3115714178881876e-37 4.219601959773626e-27 3.533869380721681e-20 6.23240278084373e-15 2.490319062076196e-11 3.750664462347704e-38 1.6004095733356964e-26 4.688860700677193e-20 7.513827045976741e-16 4.431872403787285e-12 3.602723808171504e-08 2.1329849914764054e-05 0.001615012064576149 0.1604267954826355 0.7985828518867493 1.4621022939682007 0.0 0.0 0.0 0.0
400.0 0.0 0.0 4.008629539420383e-11 1.3579334425360424e-17 1.381423309076979e-10 4.162387586568906e-32 5.590549950218201e-23 4.649405206509482e-17 1.8913265051323513e-12 2.6066997449447626e-09 1.5938605779300138e-32 2.1335261936633538e-22 1.0002518768152937e-16 4.4259734766072256e-13 6.759399706623981e-10 1.8638199890119722e-06 0.0004325747722759843 0.016621015965938568 0.6971371173858643 2.3818182945251465 2.319967746734619 0.0 0.0 0.0 0.0
450.0 0.0 4.312187738297473e-40 2.483400818320547e-09 6.3197119724313876e-15 8.336927592722532e-09 8.50759619558137e-28 9.396333611371683e-20 1.2912825851445729e-14 1.7043939870564628e-10 1.0230100855324054e-07 4.056676760570221e-28 3.6640164273371256e-19 3.9853408388083184e-14 6.444848127395986e-11 3.552056426769923e-08 4.0678227378521115e-05 0.004539573565125465 0.10241703689098358 2.2006466388702393 5.5962934494018555 3.3614866733551025 0.0 0.0 0.0 0.0
500.0 0.0 1.9961360575041715e-35 6.988764056359287e-08 8.742585648480183e-13 2.2811956057466887e-07 2.52074487198972e-24 3.707091971473159e-17 1.2144260206833901e-12 6.535031626953014e-09 2.0099894300074084e-06 1.4184300860791393e-24 1.4713875501203455e-16 4.881506223547438e-12 3.5187899261046596e-09 8.772133810452942e-07 0.00048405848792754114 0.02997581847012043 0.44016844034194946 5.546529769897461 11.118141174316406 4.56422758102417 0.0 0.0 0.0 0.0
550.0 0.0 1.3366396975417677e-31 1.1034906037821202e-06 4.995913752137149e-11 3.4983399928023573e-06 1.816738435327027e-21 5.080776362240309e-15 5.2211360235254745e-11 1.3400538989571942e-07 2.3770802727085538e-05 1.1601277763251362e-21 2.0340955821291674e-14 2.5281768345486455e-10 9.39546893619081e-08 1.2427972251316532e-05 0.003699276130646467 0.1411227285861969 1.4545949697494507 11.858145713806152 19.543655395507812 5.906081676483154 0.0 0.0 0.0 0.0
600.0 0.0 2.1024898127801787e-28 1.1260690371273085e-05 1.4691442506986618e-09 3.465926056378521e-05 4.504666900683755e-19 3.142674651328975e-13 1.2511143232529776e-09 1.7118358073275886e-06 0.0001913839514600113 3.1729311883856986e-19 1.2572218656761724e-12 6.852762357567599e-09 1.4649843933511875e-06 0.00011552324576769024 0.020256759598851204 0.5150112509727478 3.9451398849487305 22.395727157592773 31.335285186767578 7.366981506347656 2.4406821242637005e-46 4.3368412957503084e-47 4.676142271487355e-46 1.037939867467317e-46
650.0 2.802596928649634e-45 1.0866706880839167e-25 8.194224210456014e-05 2.5892394006632458e-08 0.0002448931336402893 4.89193919432146e-17 1.0518374365942051e-11 1.912709279849878e-08 1.514485938969301e-05 0.001142743043601513 3.722150298216319e-17 4.170678385984061e-11 1.127336375361665e-07 1.5085592167451978e-05 0.0007738666026853025 0.08575909584760666 1.5440911054611206 9.18844985961914 38.43608856201172 46.806297302246094 8.929457664489746 -9.373020274284542e-43 -5.829621164539583e-43 -1.2138940762042197e-42 -1.189065121231365e-43
700.0 1.5307784424284302e-41 2.3447460991734315e-23 0.00045631075045093894 3.0498966907543945e-07 0.0013248079922050238 2.7674768672460853e-15 2.1690679807839786e-10 2.050975780321096e-07 0.00010012218990596011 0.0053810616955161095 2.239507466937087e-15 8.46918590813317e-10 1.2514959735199227e-06 0.00011202903988305479 0.003997411113232374 0.29642021656036377 3.965146541595459 18.98289680480957 61.17166519165039 66.13065338134766 10.578636169433594 -1.2338192434890998e-39 1.1716178721027844e-41 -1.2709647117469954e-39 3.03594616520563e-39
750.0 3.3978228339648794e-38 2.516660662982074e-21 0.0020484437700361013 2.6012039597844705e-06 0.005781626794487238 9.269087640441029e-14 3.031905171368976e-09 1.6515738252564915e-06 0.0005231130635365844 0.020910857245326042 7.883885195071952e-14 1.1598540794466317e-08 1.013539258565288e-05 0.0006400553393177688 0.016740281134843826 0.8706755042076111 8.992646217346191 35.626487731933594 91.64102935791016 89.36534118652344 12.301993370056152 2.5126855038869833e-37 1.7175231092771986e-36 9.400002097533731e-37 6.351926372986142e-36
800.0 2.9021500503160025e-35 1.5317513448346171e-19 0.007709662429988384 1.7059019228327088e-05 0.02117224782705307 2.024117418814031e-12 3.0862263855624406e-08 1.0506882972549647e-05 0.0022533985320478678 0.06939933449029922 1.7932041485382855e-12 1.1523610510266735e-07 6.349214527290314e-05 0.0029534006025642157 0.059031665325164795 2.239837169647217 18.43195915222168 61.83761215209961 130.69126892089844 116.47628784179688 14.089034080505371 7.421440709103441e-34 1.4545494156943357e-33 1.3295660279680066e-33 4.07483166135199e-33
850.0 1.1281655687119236e-32 5.841858024217964e-18 0.025072090327739716 9.007817425299436e-05 0.06705515086650848 3.1036472003531657e-11 2.4170631718334334e-07 5.488773240358569e-05 0.00826826598495245 0.201978400349617 2.8436199575598842e-11 8.78451260177826e-07 0.0003217736666556448 0.011423825286328793 0.18048882484436035 5.164483070373535 34.75282287597656 100.63803100585938 178.9663543701172 147.36300659179688 15.930976867675781 2.8854735099683403e-31 4.559023158559274e-31 4.7073455523199624e-31 1.1360795855695266e-30
900.0 2.2746278362987747e-30 1.5084196982254055e-16 0.07213200628757477 0.00039695590385235846 0.18805991113185883 3.5407399234799186e-10 1.520245973551937e-06 0.00024267338449135423 0.02651066891849041 0.5263007283210754 3.336178555635172e-10 5.3673447837354615e-06 0.0013661893317475915 0.038131631910800934 0.4895804226398468 10.867170333862305 61.112648010253906 155.21925354003906 236.91380310058594 181.8795623779297 17.82046127319336 4.8923500271950836e-29 7.040331018141128e-29 7.667905532325677e-29 1.6417839228368344e-28
950.0 2.6373576324879436e-28 2.8025484781853864e-15 0.18705618381500244 0.001501861377619207 0.4758625328540802 3.146524596431277e-09 7.944017852423713e-06 0.0009302144753746688 0.07580273598432541 1.2483123540878296 3.035098172787798e-09 2.720978773140814e-05 0.004995785187929869 0.11238614469766617 1.1998770236968994 21.16809844970703 101.32881164550781 228.81051635742188 304.8028869628906 219.85140991210938 19.75130271911621 4.5407736677981776e-27 6.198919611143497e-27 6.9508077414737e-27 1.3842976424685122e-26
