wavelength transmission
1289.0 0.0
1315.0 0.0
1341.0 0.0
1368.0 0.0
1397.0 0.0
1418.0 0.0
1440.0 0.0005
1462.0 0.0027999999
1478.0 0.0081000002
1486.0 0.0286999997
1493.0 0.0870999992
1504.0 0.2013999969
1515.0 0.4381999969
1528.0 0.6863999963
1539.0 0.8180999756
1546.0 0.8820999861
1551.0 0.9118000269
1556.0 0.9269000292
1565.0 0.9293000102
1572.0 0.872699976
1577.0 0.8565999866
1583.0 0.8826000094
1592.0 0.9180999994
1597.0 0.926699996
1602.0 0.9075999856
1613.0 0.925999999
1619.0 0.9204999804
1628.0 0.9241999984
1633.0 0.9235000014
1642.0 0.9417999983
1648.0 0.9491000175
1657.0 0.980700016
1659.0 0.9937000275
1671.0 1.0
1684.0 0.956099987
1701.0 0.9240999818
1715.0 0.9821000099
1727.0 0.991599977
1739.0 0.9886999726
1746.0 0.9792000055
1751.0 0.9682000279
1753.0 0.9369999766
1756.0 0.9190000296
1764.0 0.8422999978
1775.0 0.6671000123
1785.0 0.2694000006
1790.0 0.4515999854
1796.0 0.1730999947
1803.0 0.1076999977
1810.0 0.0706999972
1813.0 0.0051000002
1818.0 0.0199999996
1828.0 0.0004
1835.0 0.0
1850.0 0.0001
1871.0 0.0
1893.0 0.0
1914.0 0.0
