wavelength transmission
1062.0 0.0
1066.0 0.0004
1070.0 0.0015
1075.0 0.0027000001
1078.0 0.0055
1082.0 0.0122999996
1084.0 0.0203000009
1087.0 0.0306000002
1089.0 0.0405000001
1093.0 0.0515000001
1096.0 0.056400001
1102.0 0.071800001
1105.0 0.2736000121
1107.0 0.3409999907
1109.0 0.3583999872
1112.0 0.3801000118
1116.0 0.3307000101
1117.0 0.2395000011
1120.0 0.2500999868
1123.0 0.2833000124
1128.0 0.2581999898
1129.0 0.2515000105
1132.0 0.5381000042
1134.0 0.2231999934
1138.0 0.5368999839
1140.0 0.1102000028
1143.0 0.5292000175
1147.0 0.2619000077
1154.0 0.3201999962
1159.0 0.1743000001
1164.0 0.6069999933
1167.0 0.6179000139
1170.0 0.6762999892
1173.0 0.7279000282
1175.0 0.7465000153
1179.0 0.8303999901
1182.0 0.7903000116
1186.0 0.8095999956
1188.0 0.8368999958
1192.0 0.8360000253
1195.0 0.7498999834
1199.0 0.7080000043
1202.0 0.6988000274
1209.0 0.7049000263
1216.0 0.7003999949
1221.0 0.7328000069
1227.0 0.7056999803
1231.0 0.8424000144
1236.0 0.9218999743
1240.0 0.9524999857
1244.0 0.967599988
1247.0 0.9595000148
1253.0 0.9226999879
1255.0 0.8930000067
1258.0 0.8529000282
1260.0 0.8022999763
1265.0 0.7501000166
1270.0 0.6780999899
1275.0 0.6524000168
1279.0 0.638800025
1286.0 0.6424000263
1292.0 0.6485999823
1297.0 0.6823999882
1302.0 0.7529000044
1305.0 0.7759000063
1307.0 0.8118000031
1310.0 0.77700001
1313.0 0.7210000157
1316.0 0.9524999857
1319.0 0.8550999761
1323.0 0.8414000273
1326.0 1.0
1330.0 0.8946999907
1333.0 0.8549000025
1334.0 0.537899971
1336.0 0.2799000144
1339.0 0.9064999819
1343.0 0.6893000007
1346.0 0.5533000231
1349.0 0.2432000041
1353.0 0.0143999998
1355.0 0.0002
1360.0 0.0401000008
1363.0 0.0044999998
1370.0 0.0003
1373.0 0.0372000001
1377.0 0.0005
1383.0 0.0
1388.0 0.0001
1392.0 0.0033
1395.0 0.0003
1396.0 0.0085000005
1397.0 0.0253999997
1398.0 0.1184
1400.0 0.0001
1401.0 0.0001
1402.0 0.052099999
1404.0 0.0104
1406.0 0.0478000008
1407.0 0.0004
1410.0 0.0024000001
1412.0 0.0052999998
1416.0 0.0086000003
1421.0 0.0007
1426.0 0.0003
1442.0 0.0004
1450.0 0.0
