wavelength transmission
1900.0 0.0
1915.0 0.0
1927.0 0.0
1934.0 0.0002
1939.0 0.0005
1948.0 0.0054000001
1957.0 0.0119000003
1962.0 0.0197000001
1969.0 0.0421999991
1976.0 0.0873000026
1981.0 0.1527999938
1989.0 0.2481999993
1990.0 0.190200001
1998.0 0.2338999957
2008.0 0.2946000099
2014.0 0.3982000053
2019.0 0.3366000056
2028.0 0.6207000017
2037.0 0.7649999857
2045.0 0.7463999987
2061.0 0.6251000166
2072.0 0.7254999876
2075.0 0.6894999743
2082.0 0.787899971
2089.0 0.8180999756
2099.0 0.8227999806
2106.0 0.8633000255
2113.0 0.8777999878
2120.0 0.8549000025
2124.0 0.8952999711
2138.0 0.918900013
2145.0 0.9268000126
2155.0 0.926699996
2169.0 0.9009000063
2176.0 0.9228000045
2185.0 0.8428000212
2197.0 0.945900023
2208.0 0.9804000258
2213.0 0.9879000187
2218.0 0.9847999811
2232.0 0.9646999836
2237.0 0.9815999866
2248.0 0.9833999872
2256.0 0.9613000154
2260.0 0.9792000055
2263.0 1.0
2265.0 0.9631999731
2270.0 0.9811999798
2272.0 0.9681000113
2276.0 0.9108999968
2277.0 0.9821000099
2281.0 0.8895999789
2284.0 0.8917999864
2286.0 0.9423999786
2291.0 0.8403999805
2293.0 0.8041999936
2295.0 0.7077000141
2297.0 0.6575999856
2299.0 0.5606999993
2306.0 0.4436999857
2311.0 0.3481999934
2316.0 0.2301999927
2320.0 0.1625999957
2325.0 0.1360000074
2328.0 0.0921000019
2335.0 0.0623999983
2339.0 0.0430999994
2344.0 0.0340000018
2346.0 0.0309999995
2352.0 0.0118000004
2361.0 0.0068000001
2363.0 0.0007
2370.0 0.003
2375.0 0.0020999999
2384.0 0.0004
2399.0 0.0
