wavelength transmission
134.0 0.0
134.1 1.154
134.20000000000002 2.308
134.3 3.462
134.4 4.616
134.5 5.77
134.6 6.924
134.70000000000002 8.078
134.8 9.232
134.9 10.386
135.0 11.54
135.1 11.8456
135.20000000000002 12.1512
135.3 12.4568
135.4 12.7624
135.5 13.068
135.6 13.3736
135.70000000000002 13.6792
135.8 13.9848
135.9 14.2904
136.0 14.596
136.1 14.9016
136.20000000000002 15.2072
136.3 15.5128
136.4 15.8184
136.5 16.124
136.6 16.4296
136.70000000000002 16.7352
136.8 17.0408
136.9 17.3464
137.0 17.652
137.1 17.6642
137.20000000000002 17.6764
137.3 17.6886
137.4 17.7008
137.5 17.713
137.6 17.7252
137.70000000000002 17.7374
137.8 17.7496
137.9 17.7618
138.0 17.774
138.1 17.4928
138.20000000000002 17.2116
138.3 16.9304
138.4 16.6492
138.5 16.368
138.6 16.0868
138.70000000000002 15.8056
138.8 15.5244
138.9 15.2432
139.0 14.962
139.1 14.6808
139.20000000000002 14.3996
139.3 14.1184
139.4 13.8372
139.5 13.556
139.6 13.2748
139.70000000000002 12.9936
139.8 12.7124
139.9 12.4312
140.0 12.15
140.1 12.6744
140.20000000000002 13.1988
140.3 13.7232
140.4 14.2476
140.5 14.772
140.6 15.2964
140.70000000000002 15.8208
140.8 16.3452
140.9 16.8696
141.0 17.394
141.1 17.9184
141.20000000000002 18.4428
141.3 18.9672
141.4 19.4916
141.5 20.016
141.6 20.5404
141.70000000000002 21.0648
141.8 21.5892
141.9 22.1136
142.0 22.638
142.1 23.0784
142.20000000000002 23.5188
142.3 23.9592
142.4 24.3996
142.5 24.84
142.6 25.2804
142.70000000000002 25.7208
142.8 26.1612
142.9 26.6016
143.0 27.042
143.1 27.3984
143.20000000000002 27.7548
143.3 28.1112
143.4 28.4676
143.5 28.824
143.6 29.1804
143.70000000000002 29.5368
143.8 29.8932
143.9 30.2496
144.0 30.606
144.1 30.9937
144.20000000000002 31.3188
144.3 31.6752
144.4 32.0316
144.5 32.388
144.6 32.7444
144.70000000000002 33.1008
144.8 33.4572
144.9 33.8136
145.0 34.17
145.1 34.2944
145.20000000000002 34.4188
145.3 34.5432
145.4 34.6676
145.5 34.792
145.6 34.9164
145.70000000000002 35.0408
145.8 35.1652
145.9 35.2896
146.0 35.414
146.1 35.5384
146.20000000000002 35.6628
146.3 35.7872
146.4 35.9116
146.5 36.036
146.6 36.1604
146.70000000000002 36.2848
146.8 36.4092
146.9 36.5336
147.0 36.658
147.1 36.6728
147.20000000000002 36.6876
147.3 36.7024
147.4 36.7172
147.5 36.732
147.6 36.7468
147.70000000000002 36.7616
147.8 36.7764
147.9 36.7912
148.0 36.806
148.1 36.7112
148.20000000000002 36.6164
148.3 36.5216
148.4 36.4268
148.5 36.332
148.6 36.2372
148.70000000000002 36.1424
148.8 36.0476
148.9 35.9528
149.0 35.858
149.1 35.7632
149.20000000000002 35.6684
149.3 35.5736
149.4 35.4788
149.5 35.384
149.6 35.2892
149.70000000000002 35.1944
149.8 35.0996
149.9 35.0048
150.0 34.91
150.1 34.8988
150.20000000000002 34.8876
150.3 34.8764
150.4 34.8652
150.5 34.854
150.6 34.8428
150.70000000000002 34.8316
150.8 34.8204
150.9 34.8092
151.0 34.798
151.1 34.7868
151.20000000000002 34.7756
151.3 34.7644
151.4 34.7532
151.5 34.742
151.6 34.7308
151.70000000000002 34.7196
151.8 34.7084
151.9 34.6972
152.0 34.686
152.1 34.5116
152.20000000000002 34.3372
152.3 34.1628
152.4 33.9884
152.5 33.814
152.6 33.6396
152.70000000000002 33.4652
152.8 33.2908
152.9 33.1164
153.0 32.942
153.1 32.6044
153.20000000000002 32.2668
153.3 31.9292
153.4 31.5916
153.5 31.254
153.60000000000002 30.9164
153.70000000000002 30.5788
153.8 30.2412
153.9 29.9036
154.0 29.566
154.10000000000002 29.2284
154.20000000000002 28.8908
154.3 28.5532
154.4 28.2156
154.5 27.878
154.60000000000002 27.5404
154.70000000000002 27.2028
154.8 26.8652
154.9 26.5276
155.0 26.19
155.10000000000002 26.1797
155.20000000000002 26.1693
155.3 26.159
155.4 26.1487
155.5 26.1383
155.60000000000002 26.128
155.70000000000002 26.1177
155.8 26.1074
155.9 26.097
156.0 26.0867
156.10000000000002 26.0764
156.20000000000002 26.066
156.3 26.0557
156.4 26.0453
156.5 26.035
156.60000000000002 26.0247
156.70000000000002 26.0143
156.8 26.004
156.9 25.9936
157.0 25.9833
157.10000000000002 25.973
157.20000000000002 25.9626
157.3 25.9523
157.4 25.942
157.5 25.9316
157.60000000000002 25.9213
157.70000000000002 25.911
157.8 25.9007
157.9 25.8903
158.0 25.88
158.10000000000002 25.8697
158.20000000000002 25.8593
158.3 25.849
158.4 25.8387
158.5 25.8284
158.60000000000002 25.818
158.70000000000002 25.8077
158.8 25.7974
158.9 25.787
159.0 25.7767
159.10000000000002 25.7664
159.20000000000002 25.756
159.3 25.7457
159.4 25.7353
159.5 25.725
159.60000000000002 25.7147
159.70000000000002 25.7043
159.8 25.694
159.9 25.6836
160.0 25.6733
160.10000000000002 25.663
160.20000000000002 25.6526
160.3 25.6423
160.4 25.632
160.5 25.6217
160.60000000000002 25.6113
160.70000000000002 25.601
160.8 25.5907
160.9 25.5803
161.0 25.57
161.10000000000002 25.329
161.20000000000002 25.088
161.3 24.847
161.4 24.606
161.5 24.365
161.60000000000002 24.124
161.70000000000002 23.883
161.8 23.642
161.9 23.401
162.0 23.16
162.10000000000002 22.919
162.20000000000002 22.678
162.3 22.437
162.4 22.196
162.5 21.955
162.60000000000002 21.714
162.70000000000002 21.473
162.8 21.232
162.9 20.991
163.0 20.75
163.10000000000002 20.509
163.20000000000002 20.268
163.3 20.027
163.4 19.786
163.5 19.545
163.60000000000002 19.304
163.70000000000002 19.063
163.8 18.822
163.9 18.581
164.0 18.34
164.10000000000002 18.099
164.20000000000002 17.858
164.3 17.617
164.4 17.376
164.5 17.135
164.60000000000002 16.894
164.70000000000002 16.653
164.8 16.412
164.9 16.171
165.0 15.93
165.10000000000002 15.8554
165.20000000000002 15.7808
165.3 15.7062
165.4 15.6316
165.5 15.557
165.60000000000002 15.4824
165.70000000000002 15.4078
165.8 15.3332
165.9 15.2586
166.0 15.184
166.10000000000002 15.1094
166.20000000000002 15.0348
166.3 14.9602
166.4 14.8856
166.5 14.811
166.60000000000002 14.7364
166.70000000000002 14.6618
166.8 14.5872
166.9 14.5126
167.0 14.438
167.10000000000002 14.3634
167.20000000000002 14.2888
167.3 14.2142
167.4 14.1396
167.5 14.065
167.60000000000002 13.9904
