wavelength transmission
169.0 0.0
169.10000000000002 0.245
169.20000000000002 0.49
169.3 0.735
169.4 0.98
169.5 1.225
169.60000000000002 1.47
169.70000000000002 1.715
169.8 1.96
169.9 2.205
170.0 2.45
170.10000000000002 2.4676
170.20000000000002 2.4852
170.3 2.5028
170.4 2.5204
170.5 2.538
170.60000000000002 2.5556
170.70000000000002 2.5732
170.8 2.5908
170.9 2.6084
171.0 2.626
171.10000000000002 2.6436
171.20000000000002 2.6612
171.3 2.6788
171.4 2.6964
171.5 2.714
171.60000000000002 2.7316
171.70000000000002 2.7492
171.8 2.7668
171.9 2.7844
172.0 2.802
172.10000000000002 2.8196
172.20000000000002 2.8372
172.3 2.8548
172.4 2.8724
172.5 2.89
172.60000000000002 2.9076
172.70000000000002 2.9252
172.8 2.9428
172.9 2.9604
173.0 2.978
173.10000000000002 2.9956
173.20000000000002 3.0132
173.3 3.0308
173.4 3.0484
173.5 3.066
173.60000000000002 3.0836
173.70000000000002 3.1012
173.8 3.1188
173.9 3.1364
174.0 3.154
174.10000000000002 3.1716
174.20000000000002 3.1892
174.3 3.2068
174.4 3.2244
174.5 3.242
174.60000000000002 3.2596
174.70000000000002 3.2772
174.8 3.2948
174.9 3.3124
175.0 3.33
175.10000000000002 3.4672
175.20000000000002 3.6044
175.3 3.7416
175.4 3.8788
175.5 4.016
175.60000000000002 4.1532
175.70000000000002 4.2904
175.8 4.4276
175.9 4.5648
176.0 4.702
176.10000000000002 4.8392
176.20000000000002 4.9764
176.3 5.1136
176.4 5.2508
176.5 5.388
176.60000000000002 5.5252
176.70000000000002 5.6624
176.8 5.7996
176.9 5.9368
177.0 6.074
177.10000000000002 6.2112
177.20000000000002 6.3484
177.3 6.4856
177.4 6.6228
177.5 6.76
177.60000000000002 6.8972
177.70000000000002 7.0344
177.8 7.1716
177.9 7.3088
178.0 7.446
178.10000000000002 7.5832
178.20000000000002 7.7204
178.3 7.8576
178.4 7.9948
178.5 8.132
178.60000000000002 8.2692
178.70000000000002 8.4064
178.8 8.5436
178.9 8.6808
179.0 8.818
179.10000000000002 8.9552
179.20000000000002 9.0924
179.3 9.2296
179.4 9.3668
179.5 9.504
179.60000000000002 9.6412
179.70000000000002 9.7784
179.8 9.9156
179.9 10.0528
180.0 10.19
180.10000000000002 10.338
180.20000000000002 10.486
180.3 10.634
180.4 10.782
180.5 10.93
180.60000000000002 11.078
180.70000000000002 11.226
180.8 11.374
180.9 11.522
181.0 11.67
181.10000000000002 11.818
181.20000000000002 11.966
181.3 12.114
181.4 12.262
181.5 12.41
181.60000000000002 12.558
181.70000000000002 12.706
181.8 12.854
181.9 13.002
182.0 13.15
182.10000000000002 13.298
182.20000000000002 13.446
182.3 13.594
182.4 13.742
182.5 13.89
182.60000000000002 14.038
182.70000000000002 14.186
182.8 14.334
182.9 14.482
183.0 14.63
