wavelength transmission
7200.0 2.8062e-05
7210.0 0.0017202
7220.0 0.0016953
7230.0 0.0021202
7240.0 0.0022305
7250.0 0.0020557
7260.0 0.0021601
7270.0 0.0019177
7280.0 0.0011553
7290.0 0.0016445
7300.0 0.0026889
7310.0 0.0033714
7320.0 0.0035918
7330.0 0.0035219
7340.0 0.0037744
7350.0 0.003684
7360.0 0.0033351
7370.0 0.0033336
7380.0 0.0031728
7390.0 0.0033791
7400.0 0.0036603
7410.0 0.0042789
7420.0 0.0054307
7430.0 0.0071141
7440.0 0.0092516
7450.0 0.01171
7460.0 0.014421
7470.0 0.017429
7480.0 0.021233
7490.0 0.026207
7500.0 0.033257
7510.0 0.043132
7520.0 0.056946
7530.0 0.075682
7540.0 0.1001
7550.0 0.12979
7560.0 0.16432
7570.0 0.20006
7580.0 0.23102
7590.0 0.25482
7600.0 0.26893
7610.0 0.27304
7620.0 0.2685
7630.0 0.25881
7640.0 0.24657
7650.0 0.23555
7660.0 0.22577
7670.0 0.21849
7680.0 0.21245
7690.0 0.20893
7700.0 0.20793
7710.0 0.2082
7720.0 0.20847
7730.0 0.21001
7740.0 0.21156
7750.0 0.21183
7760.0 0.21338
7770.0 0.21494
7780.0 0.21778
7790.0 0.2219
7800.0 0.22604
7810.0 0.23019
7820.0 0.23435
7830.0 0.23852
7840.0 0.24269
7850.0 0.24559
7860.0 0.24849
7870.0 0.2501
7880.0 0.25172
7890.0 0.25333
7900.0 0.25626
7910.0 0.25788
7920.0 0.26082
7930.0 0.26637
7940.0 0.27063
7950.0 0.27621
7960.0 0.28311
7970.0 0.29134
7980.0 0.29959
7990.0 0.30654
8000.0 0.31219
8010.0 0.31654
8020.0 0.3209
8030.0 0.32394
8040.0 0.32699
8050.0 0.32872
8060.0 0.32913
8070.0 0.33087
8080.0 0.33128
8090.0 0.33435
8100.0 0.3361
8110.0 0.33651
8120.0 0.33693
8130.0 0.33601
8140.0 0.33374
8150.0 0.33146
8160.0 0.32784
8170.0 0.32421
8180.0 0.32191
8190.0 0.32095
8200.0 0.31865
8210.0 0.31768
8220.0 0.31536
8230.0 0.31439
8240.0 0.31342
8250.0 0.31108
8260.0 0.30738
8270.0 0.3023
8280.0 0.29721
8290.0 0.29211
8300.0 0.2911
8310.0 0.29145
8320.0 0.2918
