teff logg FUV NUV U u B g G3_BP V G3 r R i G3_RP I z J H Ks W1 W2 W3 H1 H2 H3 H4
5000.0 6.5 156.37261962890625 61607.8671875 1753213.375 1855274.875 3390273.5 3691274.0 3723410.5 3992318.0 3470729.25 3896883.75 3599254.25 3359505.75 3142798.25 2745702.0 2633701.0 1427281.625 742067.75 313550.90625 68177.953125 22283.33203125 837.3167724609375 56.716523496077855 64.52257446709632 93.43387591691163 155.17443720292192
5000.0 6.75 157.2852325439453 57823.921875 1694114.375 1795404.0 3381454.0 3695451.25 3730095.0 4008710.5 3481980.25 3912897.5 3614215.0 3373775.75 3155493.0 2756274.75 2643595.5 1430006.5 741435.875 313358.46875 68185.0546875 22297.091796875 838.9854736328125 57.024483881451076 64.87426059635136 94.00431450774177 156.09755339163465
5000.0 7.0 157.35633850097656 54531.23828125 1633892.75 1733936.125 3370357.0 3698227.5 3735349.75 4023952.5 3491892.0 3927713.25 3627819.0 3386531.75 3166906.25 2765674.25 2652368.25 1432638.875 741274.9375 313310.71875 68205.8984375 22311.48046875 840.290283203125 57.046797872888895 64.90226227853812 94.12021703975681 156.2702184073015
5000.0 7.25 156.49673461914062 51506.59765625 1576389.25 1674990.875 3357635.0 3699747.0 3739661.0 4038108.5 3500876.75 3941855.75 3640539.25 3398185.25 3177451.25 2774230.0 2660338.75 1435133.125 741369.25 313351.34375 68233.84375 22325.353515625 841.2901000976562 56.74749446742104 64.56578032015301 93.72047875702616 155.58573191607067
5000.0 7.5 154.6787872314453 48737.16796875 1522499.25 1619541.625 3343343.0 3699869.75 3743108.25 4051125.75 3508965.75 3955473.5 3652478.5 3408795.5 3187207.0 2781998.5 2667568.75 1437584.75 741541.5 313422.6875 68266.796875 22340.337890625 842.279052734375 56.107684244073035 63.84260314234322 92.767919023858 153.9914751256682
5000.0 7.75 151.82937622070312 46176.51171875 1471853.75 1567264.125 3327659.5 3698709.75 3746005.75 4063373.5 3516604.0 3969174.5 3664224.75 3418952.25 3196720.5 2789433.5 2674485.0 1439948.25 741670.6875 313494.90625 68301.9921875 22355.923828125 843.2774658203125 55.100782737095045 62.70203319385729 91.2139700291172 151.41106329528967
5000.0 8.0 146.57957458496094 43522.69921875 1423861.0 1517629.0 3310762.5 3696573.75 3748775.0 4075480.75 3524282.0 3983553.25 3676355.0 3429227.0 3206512.0 2796973.25 2681503.0 1442350.875 741666.75 313541.59375 68336.5859375 22372.60546875 844.4485473632812 53.278318588510686 60.63795062873464 88.40068081657527 146.75243466450166
5000.0 8.25 140.89341735839844 40941.2109375 1377883.5 1469935.625 3292122.75 3692836.75 3750776.5 4086883.25 3531518.0 3997898.0 3688341.25 3439271.75 3216194.25 2804353.25 2688373.5 1444694.625 741464.3125 313536.46875 68368.65625 22389.775390625 845.7713012695312 51.26104570287484 58.348673725555045 85.193227032273 141.4521236988382
5000.0 8.5 134.02638244628906 38250.8828125 1333743.25 1424003.0 3272160.25 3687952.0 3752503.5 4098211.25 3538880.0 4012729.25 3700798.5 3449766.5 3226322.5 2812083.0 2695574.5 1447056.375 741006.5625 313462.5 68396.8046875 22408.115234375 847.3875732421875 48.80703183632578 55.562257206655616 81.26109713241061 134.9643725903195
5000.0 8.75 125.71475219726562 35465.24609375 1291328.875 1379768.75 3250883.5 3681935.0 3753991.75 4109594.0 3546482.25 4028108.5 3713858.5 3460877.0 3237029.5 2820296.25 2703227.0 1449472.875 740251.625 313298.78125 68416.34375 22425.75 849.1934814453125 45.822263075974426 52.17220422264751 76.45614405894511 127.03961250597246
5000.0 9.0 116.0536117553711 32649.123046875 1250890.125 1337504.5 3228378.25 3674724.5 3755195.0 4120931.75 3554321.0 4043909.5 3727514.5 3472679.25 3248341.5 2829041.75 2711381.5 1451918.625 739151.5 313024.96875 68425.046875 22442.650390625 851.2597045898438 42.37589682782416 48.25836373550723 70.9027385980343 117.85882533256708
5000.0 9.25 105.25493621826172 29851.45703125 1212819.625 1297638.375 3204776.75 3666356.0 3756207.5 4132298.75 3562502.75 4060172.0 3741885.0 3485334.0 3260359.75 2838421.75 2720137.25 1454381.125 737665.0625 312622.59375 68420.0625 22458.5078125 853.641357421875 38.51280174439598 43.870566244257375 64.6674837773777 107.54775843098938
5000.0 9.5 93.84075927734375 27218.830078125 1177769.125 1260786.625 3180054.25 3656536.75 3756809.25 4143363.0 3570800.25 4076576.0 3756724.0 3498663.0 3272869.5 2848279.75 2729349.0 1456795.0 735699.8125 312055.0625 68393.5234375 22470.025390625 856.1431274414062 34.46569223186663 39.275250418659816 58.14801429849581 96.74791932312715
5250.0 6.5 380.9988098144531 153533.171875 2938699.25 3071550.0 4686685.0 4943961.5 4839546.0 5089083.0 4304282.0 4826980.5 4373248.5 4009661.5 3734866.5 3209749.75 3061943.75 1608450.625 821035.1875 341227.875 72880.9765625 23540.21875 856.98486328125 138.89958311912636 158.04475544922522 228.97361921351137 376.5700579830914
5250.0 6.75 387.24945068359375 138900.390625 2860384.75 2996790.0 4685876.0 4956251.5 4854924.0 5116010.5 4324270.5 4853546.5 4397948.0 4033013.25 3755569.0 3226982.0 3078038.75 1612541.875 818953.625 340667.25 72882.25 23567.09765625 860.5436401367188 141.08015308603416 160.5255665827445 232.75857762129897 382.68349541913784
5250.0 7.0 392.2453308105469 127607.515625 2772400.5 2910841.5 4680980.0 4967072.5 4868274.5 5142200.0 4343129.0 4878831.5 4421704.5 4055736.75 3775637.25 3243711.0 3093664.25 1616521.0 817670.375 340334.375 72900.25 23592.966796875 863.447509765625 142.85911333067003 162.5520347440053 235.89204008088004 387.7292576107867
5250.0 7.25 395.4201354980469 118323.0859375 2678038.5 2817445.5 4673719.5 4977223.0 4880214.5 5167777.0 4360497.5 4902769.0 4443804.0 4076566.0 3794045.25 3258923.5 3107833.5 1620482.875 817144.5 340218.5625 72934.59375 23617.482421875 865.656982421875 144.0059046278075 163.86195506335642 238.01898048458884 391.12072836837194
5250.0 7.5 396.3583679199219 110433.828125 2585429.5 2725082.0 4664194.0 4985969.5 4890682.0 5191906.0 4376287.0 4925263.0 4464204.5 4095472.0 3810842.75 3272659.5 3120597.25 1624271.625 817048.375 340223.84375 72976.796875 23640.529296875 867.4216918945312 144.36620702696186 164.28044454636887 238.88906004440946 392.45283467215626
5250.0 7.75 394.7981872558594 103573.9765625 2498861.5 2637962.0 4652248.5 4992700.0 4899565.5 5214018.0 4390435.5 4946434.5 4482984.0 4112460.75 3826126.25 3284963.5 3132018.0 1627813.375 817164.5 340292.0625 73022.65625 23662.8671875 868.9754638671875 143.84353055063687 163.6975964471912 238.34404125035007 391.4741169335153
5250.0 8.0 390.5900573730469 97615.390625 2419046.75 2557077.75 4637998.0 4997226.0 4907164.0 5234217.5 4403337.5 4966948.0 4500752.0 4128074.5 3840446.5 3296250.25 3142479.75 1631101.75 817248.9375 340362.25 73068.1640625 23684.833984375 870.4913940429688 142.39603444370556 162.06538127084096 236.29730345643353 388.0404224547573
5250.0 8.25 383.42864990234375 92217.546875 2345917.0 2482508.5 4621617.5 4999658.0 4913807.0 5252915.5 4415377.0 4987406.5 4518011.5 4142781.0 3854250.75 3306883.25 3152324.5 1634217.375 817166.4375 340391.15625 73109.3828125 23706.07421875 872.0468139648438 139.92728364714475 159.27261803275823 232.5666483478749 381.8776669856567
5250.0 8.5 373.1416015625 86936.578125 2278710.75 2413648.75 4603237.5 4999952.0 4919582.5 5270296.0 4426840.5 5008087.5 4535150.5 4157031.0 3867945.75 3317220.75 3161906.75 1637149.625 816771.75 340341.40625 73145.546875 23727.490234375 873.788330078125 136.33743346906456 155.2044159182494 226.96831442204046 372.69119054518706
5250.0 8.75 359.60107421875 81484.84375 2216918.5 2350089.25 4583188.0 4998456.0 4924800.5 5286880.0 4438133.0 5029193.0 4552542.5 4171365.5 3881905.25 3327651.5 3171586.0 1639961.25 816003.1875 340193.75 73174.375 23749.58203125 875.857666015625 131.58323556633252 149.81190878495997 219.43655000321095 360.3470526974458
5250.0 9.0 342.64892578125 75855.40625 2160187.75 2291501.75 4561590.5 4995232.0 4929448.5 5302823.0 4449324.0 5050545.5 4570215.5 4185963.25 3896211.75 3338334.0 3181516.25 1642692.25 814779.25 339916.34375 73193.125 23772.166015625 878.3196411132812 125.59631741444201 143.01795252679491 209.86969660175842 344.68920554836563
5250.0 9.25 321.6722412109375 70103.2578125 2108471.5 2237863.25 4538804.5 4990451.0 4933605.0 5318225.5 4460550.5 5072042.5 4588268.5 4201062.5 3910987.75 3349431.75 3191846.25 1645319.5 813097.0625 339504.5 73199.8515625 23793.998046875 881.071044921875 118.13849112071537 134.55040113456477 197.8569068455107 325.02520039177404
5250.0 9.5 296.8158264160156 64217.515625 2061750.75 2189220.75 4515106.5 4984362.5 4937470.0 5333349.0 4471973.0 5093675.0 4606822.0 4216868.5 3926331.5 3361074.25 3202698.0 1647873.125 810975.8125 338953.9375 73191.890625 23814.53515625 884.1257934570312 109.30587404040769 124.52386372819372 183.63319044513432 301.72275945907444
5500.0 6.5 850.9430541992188 392095.9375 4536503.5 4685690.5 6239613.5 6417645.5 6129662.5 6331833.0 5234426.5 5853634.5 5214358.0 4704137.0 4365845.5 3697007.0 3509207.75 1790750.5 901018.3125 368735.25 77403.96875 24713.333984375 872.3148193359375 313.1302467050189 356.32450635212285 514.0702258872867 837.4788827206621
5500.0 6.75 869.6965942382812 340106.90625 4438854.0 4596892.5 6243036.0 6435509.0 6151249.5 6366889.5 5261545.5 5888565.0 5247287.5 4735604.5 4393583.0 3719974.75 3530634.25 1795935.0 898716.5 368193.40625 77456.0078125 24766.763671875 877.6756591796875 319.37077043350484 363.4126075156683 525.1311457327205 855.1347223212667
5500.0 7.0 887.193359375 300058.8125 4352825.0 4517963.0 6245204.5 6449805.5 6168725.0 6395725.0 5284277.5 5917618.0 5275138.0 4762665.0 4417247.0 3739690.5 3549017.25 1800986.875 896393.625 367627.8125 77488.0390625 24809.875 882.31787109375 325.3342803194616 370.1888974139642 535.6485009806781 871.9218673146528
5500.0 7.25 903.1365966796875 269459.1875 4245828.0 4416922.0 6250261.0 6472257.5 6190164.5 6432500.5 5308632.0 5948355.0 5303176.0 4788933.5 4440175.5 3758746.5 3566688.75 1806791.0 894782.875 367266.8125 77532.3515625 24850.37109375 886.2589721679688 330.85430060912734 376.469225187918 545.405180336744 887.4639032563771
5500.0 7.5 915.877685546875 245251.78125 4119858.5 4296242.5 6253113.0 6495342.0 6213848.5 6473592.0 5335827.0 5985190.0 5335592.5 4818059.5 4465838.5 3779522.0 3585853.25 1812669.25 893946.75 367121.875 77593.9453125 24890.796875 889.6724853515625 335.33414712163204 381.56932620228326 553.5186964281406 900.305918170654
