teff logg meta FUV NUV G3 G3_BP G3_RP U B V R I u g r i z J H Ks W1 W2 W3 H1 H2 H3 H4
3500.0 0.5 -1.0 6.051055265743344e-07 2.9706380367279053 359835.875 213342.546875 475226.1875 6254.86767578125 80665.015625 245165.203125 404708.25 515657.375 6962.890625 120833.7109375 336577.5 466376.03125 522673.28125 477402.34375 464966.59375 207874.640625 40343.82421875 11088.3994140625 344.5543212890625 2.953109001078605e-09 5.105739690354568e-07 2.4693706792023646e-07 1.3914139641824034e-06
3500.0 0.0 0.0 3.409105033824744e-07 1.5782924890518188 307286.9375 152763.046875 438161.4375 3782.562255859375 60304.984375 179020.1875 327648.9375 514388.0625 4190.03271484375 92235.6640625 233027.015625 419807.8125 526561.5 512460.25 449071.5 213699.453125 44241.484375 10731.0908203125 351.32965087890625 1.7632044287674782e-08 2.5291301524985856e-07 1.2653324558878123e-07 6.856408883148251e-07
3500.0 3.5 0.5 2.0738367311423644e-05 11.587589263916016 236693.828125 86998.6328125 376897.03125 20273.328125 69336.1953125 92823.203125 225592.78125 498802.1875 22467.029296875 71899.3828125 110012.359375 338919.8125 519675.71875 587890.0 478921.78125 207090.5 39447.8203125 11604.03125 352.868896484375 1.4520343610001229e-06 1.1373405472951565e-05 5.799939332566851e-06 3.24587532345991e-05
3500.0 3.5 0.2 3.685511910589412e-05 15.080134391784668 280703.96875 118581.0703125 427924.40625 21530.19921875 86980.625 129411.734375 275081.75 543339.125 23827.29296875 95426.5 152121.234375 395851.8125 563517.5 570281.375 462934.59375 198162.5625 37527.98046875 11508.1474609375 348.3062438964844 2.571961200767151e-06 1.9881345615681468e-05 1.0159167308306544e-05 5.704068683027853e-05
3500.0 4.0 -1.0 0.00011475275823613629 43.16667938232422 489971.40625 318451.21875 619618.5625 27731.412109375 151309.8125 354297.3125 554450.0625 647223.125 30135.41796875 197495.359375 481057.46875 619245.375 651298.4375 509889.34375 344601.6875 156461.75 33509.26953125 11380.2490234375 342.1250915527344 9.032487931783223e-06 5.717599775810202e-05 2.9299900424814515e-05 0.00016593245383849555
3500.0 3.0 -1.0 4.344429180491716e-05 20.609643936157227 452937.28125 291116.125 578718.1875 24841.361328125 143543.375 326339.40625 504435.75 617474.25 27298.345703125 186573.25 430417.3125 573569.75 623439.0625 506492.59375 385088.90625 169216.515625 33882.6640625 11261.0166015625 336.9597473144531 2.9395397844172263e-06 2.5239940076404955e-05 1.2824181051851638e-05 7.089114595414704e-05
3500.0 4.5 -0.5 0.00034484011121094227 43.990047454833984 461665.59375 282622.34375 604488.4375 27775.400390625 144013.34375 313084.28125 508835.09375 657393.1875 30155.953125 181150.109375 417166.4375 596106.9375 665776.5 527267.125 350457.1875 158135.0625 33646.17578125 11418.40234375 344.15167236328125 2.720331902787142e-05 0.00015857734429877511 8.179934495906077e-05 0.00047308485417721325
3500.0 5.0 0.5 0.0002682346384972334 34.90241241455078 346855.6875 161453.078125 512096.34375 31010.48046875 113527.7421875 175368.203125 347420.125 630897.3125 33780.2421875 124453.5078125 211980.125 480909.9375 652399.25 588646.8125 388706.0625 171646.65625 34908.390625 11611.5087890625 345.5579833984375 2.1247948433945165e-05 0.00012026717358002426 6.215386098659478e-05 0.0003624897466509322
3500.0 2.5 -0.5 1.7014839613693766e-05 11.953814506530762 350794.25 194251.171875 483243.375 17950.169921875 109078.0 218859.734375 369507.71875 559359.9375 19936.2109375 136019.015625 271742.28125 466203.65625 571976.375 518439.1875 456461.90625 194642.078125 36406.14453125 11226.556640625 342.2943420410156 9.904172064581879e-07 1.0447268891018404e-05 5.251811835406427e-06 2.9231841656268784e-05
3500.0 1.5 0.0 2.873176299544866e-06 5.0343146324157715 281865.25 128558.3984375 416562.8125 9066.1396484375 69839.7890625 147642.421875 287152.15625 510138.65625 10092.986328125 91544.390625 179886.453125 392102.9375 526449.1875 522373.0 470911.25 213287.71875 42512.2734375 11199.4814453125 356.7284851074219 1.623588367326175e-07 1.8457151746307128e-06 9.205809014209528e-07 5.10667799460315e-06
3500.0 2.0 -0.5 7.524291959271068e-06 8.74840259552002 339809.0 187161.703125 468534.375 14327.6611328125 99545.015625 212443.75 359649.75 541362.375 15954.384765625 128104.96875 265923.59375 451871.65625 553544.125 508524.03125 463868.78125 201161.09375 38073.87890625 11213.6396484375 345.6988525390625 3.827373028689364e-07 4.912252371477702e-06 2.4480762995848483e-06 1.3627533995750127e-05
3500.0 2.0 0.0 5.538184723263839e-06 7.0049309730529785 279299.40625 125274.0625 415775.5625 11833.27734375 74306.3828125 142168.21875 281604.53125 513816.65625 13175.833984375 92685.7734375 171143.546875 389692.5625 531047.6875 529656.375 474116.59375 211079.25 41367.37109375 11321.982421875 356.2289733886719 3.167120671918241e-07 3.454383141940063e-06 1.7284329884307909e-06 9.624999496134164e-06
3500.0 1.0 -1.0 1.535628030069347e-06 4.510914325714111 370232.0 225030.5 485076.65625 9257.521484375 94766.59375 257657.53125 412699.59375 527329.0 10316.0185546875 135091.515625 344530.1875 476049.40625 534392.5625 481828.75 462436.3125 203156.453125 38630.828125 11106.96875 341.47100830078125 3.4227695805069875e-08 1.2047181384577862e-06 5.889735957611426e-07 3.2879848955473316e-06
3500.0 3.0 0.5 1.1191994417458773e-05 8.857149124145508 224515.03125 80198.9609375 359879.71875 16509.16796875 61078.109375 86534.671875 213894.59375 478485.34375 18339.78125 65353.73046875 103160.890625 322288.0 498780.71875 577665.5 484632.1875 213290.3125 41585.66015625 11602.08984375 360.2527770996094 7.436346754062299e-07 6.4077175318909396e-06 3.2516382618015207e-06 1.8123709905702195e-05
3500.0 1.0 0.2 1.5113404288058518e-06 3.229064702987671 270422.09375 116275.015625 406732.15625 6441.11181640625 59426.4765625 135102.078125 273891.3125 504501.125 7153.73095703125 81453.15625 164740.5625 380688.40625 521298.28125 530663.4375 463921.75 215717.375 44085.51171875 11043.5908203125 357.8572998046875 9.569730241555158e-08 9.795415826783133e-07 4.921854002724554e-07 2.69396250027935e-06
3500.0 0.5 0.0 6.939160357433138e-07 2.3998186588287354 297135.8125 143461.140625 429068.40625 5109.70654296875 63466.00390625 167532.390625 311514.375 511566.59375 5671.4375 92262.625 212140.625 408672.125 525299.0625 513569.75 458103.5 214353.390625 43857.15234375 10890.40625 353.7810974121094 3.667909066344735e-08 4.880699983031049e-07 2.435292652472764e-07 1.331480410635587e-06
3500.0 0.0 -1.0 2.3451907793514692e-07 1.8685576915740967 350443.3125 200547.375 468281.96875 4151.51318359375 66924.7734375 230445.71875 397710.8125 507992.46875 4609.93310546875 105688.8359375 327489.125 459410.59375 515212.3125 476738.53125 464912.5 211301.515625 41870.83203125 11060.90234375 347.3367614746094 0.0 2.123042232924931e-07 1.0153878186814223e-07 5.786485144507385e-07
3500.0 3.0 0.0 2.3522599803982303e-05 12.874860763549805 291867.6875 131798.921875 434740.59375 18666.984375 88693.234375 146232.8125 291280.21875 539976.5625 20714.0234375 102358.890625 173460.28125 406984.9375 558372.4375 549276.3125 468094.625 201082.296875 38061.6328125 11433.72265625 349.5625305175781 1.534137619668888e-06 1.3369483266693273e-05 6.788034365694738e-06 3.795421436872812e-05
3500.0 5.0 0.2 0.00044556247303262353 43.037532806396484 391712.34375 203359.953125 554112.25 30173.103515625 126871.0390625 223267.359375 405699.46875 654216.8125 32761.876953125 146769.96875 278848.375 530919.375 671980.625 566016.875 369674.65625 164842.046875 34356.54296875 11562.78515625 346.625732421875 3.533515008771707e-05 0.0001951318206198251 0.00010112871248549515 0.0005931555911957169
3500.0 5.0 -0.5 0.00041583264828659594 47.11317443847656 470088.65625 286104.625 615379.875 25508.29296875 138359.234375 315195.0 523812.21875 662805.1875 27466.5546875 176057.015625 432591.84375 608167.0 670519.125 526311.4375 347258.9375 156114.078125 33506.73828125 11340.009765625 343.3762512207031 3.376702548311374e-05 0.0001804997861390921 9.30249697658472e-05 0.0005476579742999423
3500.0 0.5 0.5 7.805942345839867e-07 1.961747407913208 257233.0625 100677.0390625 397325.21875 4486.552734375 48444.82421875 118379.78125 257389.203125 503415.25 4970.85546875 69619.34375 144206.0 368247.875 521142.65625 552111.0 449955.625 216082.65625 45300.55859375 10838.7626953125 356.8735046386719 5.48560846903345e-08 5.24546784302662e-07 2.6698683527561726e-07 1.4289751511687088e-06
3500.0 2.5 0.2 9.218158993462566e-06 8.395514488220215 256284.09375 103959.7421875 394678.625 14179.734375 69730.6640625 115783.796875 251541.3125 503936.375 15769.828125 81371.8359375 137277.6875 363264.875 523182.6875 549644.375 478625.53125 211428.859375 41251.10546875 11459.375 358.2281188964844 5.763938839273008e-07 5.454594012179353e-06 2.7502606181473293e-06 1.533685305260243e-05
3500.0 2.5 0.0 1.1265855391684454e-05 9.562630653381348 281925.71875 125926.1640625 420925.09375 15075.62890625 80406.3984375 141169.6875 282224.90625 522834.0625 16767.55078125 95979.515625 168432.609375 393691.96875 540751.375 538666.875 474100.6875 207231.125 39850.359375 11403.2001953125 353.804931640625 6.829783156060283e-07 6.7425385046279895e-06 3.39703835332218e-06 1.8947195601933068e-05
3500.0 2.0 0.5 4.177991286269389e-06 5.171243667602539 226091.171875 80546.3515625 360996.34375 10163.9111328125 52630.47265625 90300.359375 217767.328125 475588.875 11299.5908203125 62865.15234375 107631.21875 325451.40625 495396.46875 563391.875 476796.75 217510.140625 44158.22265625 11394.4072265625 365.0736389160156 2.800309424085863e-07 2.480916917390929e-06 1.2496376728224353e-06 6.923088227691605e-06
3500.0 2.5 -1.0 1.927226003317628e-05 13.006470680236816 418065.6875 264542.03125 539635.375 20987.560546875 131830.53125 297689.0625 461211.875 584566.375 23191.43359375 171405.25 387819.46875 531506.625 591596.75 501876.5 427899.09375 181876.4375 34180.015625 11110.3125 333.15557861328125 1.141932386345683e-06 1.2142946034632619e-05 6.118026837314474e-06 3.369093898591584e-05
3500.0 0.0 -0.5 2.4827181732689496e-07 1.7776652574539185 333906.15625 184496.140625 455425.53125 4088.102783203125 66906.953125 213803.5 369321.21875 509848.875 4537.30126953125 103497.1796875 291616.4375 442457.34375 518833.21875 488152.3125 457988.0 212721.609375 43081.05078125 10866.517578125 349.3494567871094 3.2299470073001463e-09 2.0522275739326964e-07 9.954528215587732e-08 5.58013895522074e-07
3500.0 2.5 0.5 6.674775249848608e-06 6.810088157653809 222146.078125 78657.8046875 356192.1875 13104.412109375 55950.62890625 86396.296875 212448.78125 472546.6875 14571.787109375 62907.546875 103075.0 319420.125 492554.53125 569539.875 482435.8125 216347.203125 43170.671875 11528.9228515625 364.3904113769531 4.3706955120539876e-07 3.904990143771256e-06 1.9721661823086727e-06 1.0970410472589075e-05
3500.0 3.0 0.2 1.7874888726510108e-05 11.211505889892578 263091.9375 107802.2421875 404545.34375 17726.45703125 76804.4140625 118502.5 257302.546875 516954.46875 19679.453125 86127.984375 139768.90625 372403.9375 536692.0 559402.25 476079.25 206524.484375 39494.109375 11508.8251953125 353.9346923828125 1.1729034282441797e-06 1.016387035960369e-05 5.160684926383429e-06 2.8835406820858777e-05
3500.0 3.5 -0.5 0.00010230617044726387 25.102895736694336 415183.3125 244560.78125 555764.5 25310.39453125 133778.484375 273158.78125 446379.625 623727.0 27831.1171875 165856.75 348491.75 542658.375 634701.5625 528005.875 390233.09375 171700.640625 34560.6328125 11388.427734375 343.2732849121094 7.1980172354286955e-06 5.455448429554883e-05 2.7857855242157294e-05 0.00015672182966429028
3500.0 1.0 0.5 1.656521590120974e-06 2.7935938835144043 244658.609375 91791.2578125 383244.625 5919.19140625 49236.09765625 106655.8046875 241054.671875 493118.34375 6566.91796875 66708.859375 128113.3359375 351560.0625 511936.875 554858.3125 459908.84375 217247.03125 45110.921875 11035.62890625 360.45745849609375 1.210865698254685e-07 1.0437028645420016e-06 5.299623824452718e-07 2.8752857694070457e-06
3500.0 3.0 -0.5 4.025824455311522e-05 16.780330657958984 375139.875 212216.296875 512045.28125 21499.02734375 119787.0234375 237870.421875 397243.5625 587269.375 23778.076171875 147694.78125 297578.28125 495943.375 599644.125 524690.3125 434143.9375 184956.734375 35148.3125 11265.740234375 340.8504638671875 2.609476401336594e-06 2.3118548244199853e-05 1.1720619444841397e-05 6.541892665346753e-05
3500.0 0.0 0.5 3.5645368257064547e-07 1.3372007608413696 272317.78125 112349.4296875 413389.625 3401.252685546875 48208.28125 133046.484375 277592.90625 514353.28125 3763.4228515625 73209.1015625 165687.359375 387337.625 530433.8125 550484.4375 438017.75 213975.640625 45366.59765625 10647.3916015625 353.2470397949219 2.3994436458186323e-08 2.615465960190897e-07 1.336181030906078e-07 7.049791946909453e-07
3500.0 4.5 -1.0 0.00013220198161434382 48.75782012939453 494541.0 317848.75 627235.5 25897.869140625 145150.109375 352033.84375 563875.0 651523.3125 27946.615234375 190818.5625 488882.1875 628126.375 655092.1875 510604.40625 342065.59375 154479.375 33507.41015625 11337.62109375 342.840576171875 1.0643196938893796e-05 6.27618572024191e-05 3.210707525339111e-05 0.000184326420267679
3500.0 4.0 -0.5 0.00021567227668128908 35.19280242919922 444638.6875 269349.4375 586449.5625 27704.60546875 142763.796875 299670.65625 484468.125 646245.5625 30276.8125 178123.65625 390041.59375 576115.6875 655752.0625 528294.9375 361980.1875 162824.453125 34047.3828125 11441.560546875 344.4355773925781 1.618154798219704e-05 0.00010668562101664124 5.484295480070916e-05 0.00031201530987444795
3500.0 1.5 0.2 2.8611427751457086e-06 4.539740085601807 261920.5625 109181.7265625 398511.125 8492.390625 61726.109375 125324.6484375 261749.59375 500752.59375 9443.978515625 80024.703125 150758.71875 370258.28125 518624.25 535408.125 470775.59375 215403.53125 43500.72265625 11211.5087890625 359.71710205078125 1.8087913602983327e-07 1.7750711937274255e-06 8.893133447570099e-07 4.917977812618756e-06
3500.0 0.5 0.2 7.370035746134818e-07 2.230969190597534 281532.09375 125869.234375 417419.0625 4854.57666015625 57739.78515625 147517.625 289749.9375 509775.15625 5382.5322265625 83556.0625 183428.6875 393857.75 525156.5625 527487.3125 455210.875 215161.3125 44452.0546875 10867.88671875 355.18548583984375 4.509163718086488e-08 5.068953594474607e-07 2.5492560956340537e-07 1.3827101538310983e-06
3500.0 2.0 0.2 4.900335170532344e-06 6.228704452514648 256805.40625 104918.75 393897.125 11086.8095703125 65044.2421875 118654.9375 253940.125 499875.0 12336.5234375 79797.03125 141505.609375 363823.90625 518533.15625 541787.1875 475672.75 214099.578125 42597.4453125 11356.416015625 360.0724182128906 2.9811350731807583e-07 2.9954967299547745e-06 1.5023007524548067e-06 8.35405833835496e-06
3500.0 1.5 -0.5 3.1829538329475326e-06 6.186269760131836 333752.1875 183831.703125 459380.5 10947.173828125 90749.4296875 210250.265625 356081.875 528031.875 12206.017578125 121504.265625 266818.9375 443417.25 539559.75 499663.5625 466650.90625 206020.5625 39662.921875 11160.4697265625 348.038818359375 1.325349073779605e-07 2.220636350543295e-06 1.0975437512210363e-06 6.114882055025816e-06
3500.0 5.0 0.0 0.0005272465059533715 46.30202102661133 418728.8125 231078.0625 576793.0625 29090.244140625 133042.0 254480.765625 443594.9375 662099.25 31517.865234375 158794.296875 326707.75 558569.4375 676865.25 552677.5625 360413.8125 161328.5 34005.5390625 11502.0595703125 346.0192565917969 4.203303861453306e-05 0.00022873573752516703 0.00011855669380979267 0.0006971562413633396
3500.0 4.0 0.2 8.868919394444674e-05 21.849319458007812 316867.96875 143406.328125 472215.875 25764.4765625 102422.3125 156821.28125 314822.5625 587351.4375 28367.591796875 113191.2421875 185605.921875 442181.25 607546.25 574681.75 429109.53125 185452.640625 36055.7265625 11544.634765625 346.23455810546875 6.520413745401685e-06 4.488459130889001e-05 2.3072194284297165e-05 0.00013081659555861804
3500.0 1.0 0.0 1.394622927364253e-06 3.5253958702087402 288123.28125 134822.234375 421393.0 6837.2509765625 66344.8359375 156381.734375 297408.46875 509821.875 7602.69873046875 91602.1796875 193720.90625 398869.65625 524969.6875 517027.28125 465503.71875 214284.390625 43314.47265625 11050.0439453125 355.7160949707031 7.522816944272568e-08 9.359417594940649e-07 4.661721846608671e-07 2.5710558095807045e-06
3500.0 3.5 -1.0 8.13422302599065e-05 32.11876678466797 478083.71875 310852.46875 605836.3125 27414.12109375 151249.03125 347204.84375 537082.5625 637963.0 29957.689453125 196844.71875 463733.375 603590.75 642800.1875 509038.40625 355196.625 160567.765625 33710.63671875 11366.654296875 340.7423095703125 6.044628605475145e-06 4.349780453124398e-05 2.2238766402183127e-05 0.00012416616791357068
3500.0 4.0 0.0 0.00013651055633090436 26.665218353271484 358237.15625 180467.125 513127.1875 26640.767578125 117014.84375 199463.78125 366216.09375 615025.875 29273.458984375 135081.25 241776.15625 489276.25 632632.8125 559369.3125 405246.46875 177442.328125 35398.25390625 11532.5908203125 346.7528076171875 1.0039925594400307e-05 6.818765095342684e-05 3.5096801131020224e-05 0.00019950378035951235
3500.0 0.5 -0.5 6.055228141121916e-07 2.7887344360351562 332133.3125 184122.90625 453803.125 5792.82373046875 74949.171875 212955.359375 362548.71875 512738.78125 6446.14208984375 110183.84375 281964.375 439861.90625 522526.59375 488887.96875 463088.0 211575.328125 42189.109375 10974.416015625 349.642822265625 1.5476542683128657e-08 4.6868948034945145e-07 2.288667558185206e-07 1.2785890760316872e-06
3500.0 5.0 -1.0 0.0001354354026261717 44.82133102416992 493942.78125 309844.84375 631928.4375 22288.45703125 134105.296875 340928.59375 567597.75 654112.8125 23830.03125 178343.71875 487718.09375 633502.125 657577.3125 512106.125 343635.1875 153247.609375 33701.39453125 11229.8271484375 343.363037109375 1.090557439566935e-05 6.270418666958997e-05 3.199899869318913e-05 0.0001853526484791311
3500.0 4.5 0.2 0.0002236629807157442 32.200809478759766 359491.71875 176474.546875 520159.59375 29223.330078125 118266.359375 193657.375 364901.09375 629018.875 31959.990234375 133687.484375 234458.640625 493781.875 648190.5625 571582.125 391373.65625 172996.765625 35106.63671875 11591.7080078125 346.8265075683594 1.7137524163122275e-05 0.0001051590685645876 5.434354274873404e-05 0.00031281169105266016
3500.0 0.0 0.2 3.6068374242859136e-07 1.490654706954956 294080.6875 136949.609375 429333.6875 3640.784423828125 56055.99609375 161246.984375 308145.78125 515468.90625 4029.96826171875 85433.9921875 205796.359375 408296.40625 529142.125 526105.8125 444949.90625 213920.84375 44689.55859375 10693.908203125 352.1611633300781 2.1263988709604456e-08 2.610343064260237e-07 1.3171470926550628e-07 7.058898609583854e-07
3500.0 2.0 -1.0 8.607917152403388e-06 9.078269004821777 396706.0 248796.671875 514534.5625 17269.41015625 121866.734375 281495.03125 436579.5625 560751.125 19167.201171875 160791.28125 365134.96875 505377.53125 568002.0625 497305.53125 447752.375 190310.21875 35202.33984375 11078.333984375 334.0965270996094 4.2194864535005023e-07 5.845492482145469e-06 2.916864130307482e-06 1.6089899858042326e-05
3500.0 4.5 0.0 0.0003086572978645563 37.4249382019043 394589.5625 210828.078125 551756.75 29203.15234375 129184.1328125 232766.921875 411173.0 645318.125 31870.833984375 151569.5 289754.5625 531232.8125 661408.25 556508.3125 374874.65625 167282.375 34611.66015625 11557.171875 347.0140686035156 2.3725721471369183e-05 0.00014334963912313582 7.416028363253977e-05 0.0004279847638372767
3500.0 4.5 0.5 0.0001035875829984434 23.1441707611084 303430.5 128454.140625 462965.34375 28465.181640625 98400.359375 138223.6875 296399.3125 588799.3125 31233.443359375 103904.7578125 163130.53125 427675.875 611085.8125 597251.25 422564.90625 183243.015625 35763.62890625 11581.638671875 343.7238464355469 7.9417956656e-06 5.0391356941363035e-05 2.5934413973199066e-05 0.0001482113422639196
3500.0 1.5 0.5 2.683677621462266e-06 3.8467936515808105 233920.3125 84950.3671875 370601.78125 7783.7275390625 50481.89453125 97105.84375 227543.421875 483232.9375 8646.20703125 64252.7734375 115893.15625 336718.40625 502714.09375 558724.0625 468895.28125 217751.546875 44767.83203125 11224.978515625 363.42303466796875 1.8853669985344627e-07 1.6251016619573256e-06 8.214944648347129e-07 4.506453903268753e-06
3500.0 4.0 0.5 4.0488575905328616e-05 15.573147773742676 261630.90625 101159.4765625 410710.0625 24275.87109375 81433.1640625 107767.2109375 250936.0 536618.0625 26798.814453125 83824.1875 126776.75 372988.78125 558376.5625 598188.125 459622.9375 196742.625 37192.03125 11555.5048828125 345.14697265625 2.95831392002504e-06 2.12401648669934e-05 1.0880391865218772e-05 6.125481837432547e-05
3500.0 1.0 -0.5 1.3623302947962657e-06 4.227499485015869 331565.6875 183304.4375 454715.5625 8074.7802734375 82740.3203125 211016.265625 357495.9375 518572.65625 9001.3115234375 115854.453125 272820.21875 439715.4375 529262.125 492840.21875 466212.25 209442.75 41053.26171875 11076.2509765625 349.2975769042969 4.440010176623778e-08 1.0070725917441801e-06 4.941410504332639e-07 2.7582420757417137e-06
3500.0 3.5 0.0 5.299107215250842e-05 17.929656982421875 316486.5625 148538.578125 465414.78125 22520.1875 100662.7578125 164086.421875 317758.4375 571867.3125 24891.908203125 114821.703125 195279.171875 438486.15625 590372.5625 557721.25 446536.53125 190936.484375 36411.79296875 11454.3564453125 346.2354736328125 3.693656393310416e-06 2.838776184164231e-05 1.451780280274068e-05 8.162344951634476e-05
3500.0 1.5 -1.0 3.7500187772820937e-06 6.519037246704102 382357.6875 236644.40625 498121.53125 13085.5830078125 108825.96875 269441.8125 422937.9375 542574.8125 14565.771484375 148547.609375 353415.09375 488936.5625 549756.125 489067.0 456827.9375 197196.03125 36856.234375 11103.2138671875 337.8909912109375 1.3822693783265138e-07 2.735542195412418e-06 1.35110338868478e-06 7.490941583997273e-06
3750.0 3.5 0.2 0.00026354414876550436 49.80012512207031 525761.8125 319252.8125 695420.625 34817.2578125 198493.859375 356553.96875 557299.625 781951.4375 38378.890625 239298.046875 428936.96875 685603.5 792256.5 671231.5 546723.0 233573.71875 45595.9375 12783.8017578125 390.8367004394531 1.880459634324945e-05 0.0001286792490638072 6.518127365568305e-05 0.0003795088224379267
3750.0 0.0 0.5 1.1084615607614978e-06 2.8915998935699463 573090.9375 361536.1875 733726.0625 6298.02880859375 136031.4375 425999.34375 646999.8125 781120.5625 6934.47705078125 216416.953125 555759.875 734422.625 781151.3125 677970.8125 492996.15625 233526.78125 49435.44921875 11812.83984375 381.3695068359375 6.739544372965683e-08 7.817497826860983e-07 3.951566658550218e-07 2.1371635703362787e-06
