Teff log_g Mass Mbol BC U B V R I J H Ks Y J_1 H_1 K W1 W2 W3 W4 S36 S45 S58 S80 u g r i z g_1 r_1 i_1 z_1 y G2 G2_BP G2_RP G3 G3_BP G3_RP FUV NUV Age
3250.0 7.0 0.151 15.703 -0.863 18.634 17.987 16.566 15.668 14.807 13.889 13.743 14.056 14.245 13.841 13.711 14.047 14.464 14.625 14.394 13.883 14.509 14.618 14.654 14.585 19.479 17.34 16.019 15.413 15.054 17.13 16.0 15.399 15.098 14.939 15.887 16.766 14.991 15.911 16.774 14.999 34.187 24.503 3111.0
3500.0 7.0 0.151 15.377 -0.684 17.858 17.352 16.061 15.249 14.463 13.655 13.531 13.816 13.97 13.61 13.5 13.807 14.184 14.331 14.109 13.637 14.225 14.324 14.355 14.286 18.703 16.759 15.572 15.043 14.741 16.57 15.557 15.032 14.776 14.647 15.479 16.26 14.634 15.501 16.27 14.644 32.437 23.386 2829.0
3750.0 7.0 0.152 15.073 -0.593 17.302 16.882 15.666 14.901 14.159 13.417 13.286 13.534 13.707 13.373 13.257 13.522 13.861 13.993 13.783 13.345 13.898 13.987 14.01 13.942 18.145 16.321 15.21 14.724 14.454 16.143 15.196 14.713 14.484 14.373 15.135 15.863 14.322 15.157 15.874 14.332 31.143 22.593 2490.0
4000.0 7.0 0.153 14.787 -0.423 16.558 16.287 15.21 14.538 13.879 13.248 13.14 13.375 13.498 13.206 13.111 13.362 13.682 13.803 13.601 13.179 13.716 13.798 13.818 13.753 17.398 15.782 14.818 14.415 14.206 15.626 14.807 14.407 14.227 14.147 14.773 15.399 14.025 14.794 15.413 14.036 29.477 21.498 2191.0
4250.0 7.0 0.154 14.517 -0.325 15.985 15.821 14.842 14.232 13.631 13.074 12.96 13.169 13.299 13.033 12.932 13.155 13.45 13.559 13.364 12.959 13.481 13.554 13.57 13.506 16.823 15.355 14.494 14.148 13.979 15.215 14.485 14.141 13.995 13.936 14.464 15.023 13.765 14.484 15.038 13.777 28.164 20.656 1941.0
4500.0 7.0 0.155 14.26 -0.253 15.478 15.408 14.513 13.956 13.405 12.911 12.782 12.954 13.115 12.871 12.756 12.939 13.205 13.3 13.111 12.72 13.233 13.296 13.306 13.245 16.314 14.976 14.202 13.905 13.771 14.848 14.195 13.899 13.782 13.741 14.183 14.683 13.527 14.202 14.7 13.54 26.978 19.905 1722.0
4750.0 7.0 0.156 14.015 -0.196 15.015 15.03 14.211 13.701 13.196 12.757 12.611 12.739 12.944 12.718 12.587 12.723 12.963 13.044 12.857 12.478 12.987 13.04 13.046 12.984 15.85 14.627 13.934 13.681 13.578 14.512 13.929 13.676 13.585 13.561 13.921 14.37 13.307 13.94 14.388 13.321 25.886 19.217 1508.0
5000.0 7.0 0.158 13.779 -0.153 14.59 14.682 13.932 13.464 13.0 12.61 12.452 12.53 12.781 12.572 12.43 12.512 12.721 12.791 12.605 12.237 12.743 12.788 12.789 12.728 15.424 14.307 13.686 13.472 13.397 14.202 13.681 13.468 13.4 13.39 13.675 14.079 13.101 13.694 14.099 13.116 24.872 18.582 1309.0
5250.0 7.0 0.161 13.551 -0.123 14.194 14.359 13.674 13.244 12.817 12.472 12.305 12.33 12.629 12.435 12.284 12.309 12.476 12.536 12.351 12.006 12.495 12.534 12.531 12.471 15.026 14.009 13.455 13.277 13.227 13.914 13.452 13.274 13.227 13.23 13.445 13.807 12.909 13.464 13.829 12.925 23.905 17.982 1124.0
5500.0 7.0 0.163 13.331 -0.099 13.828 14.058 13.43 13.035 12.642 12.34 12.174 12.156 12.482 12.304 12.153 12.132 12.24 12.287 12.104 11.817 12.255 12.285 12.279 12.218 14.659 13.73 13.237 13.091 13.065 13.645 13.234 13.089 13.061 13.077 13.226 13.55 12.726 13.245 13.574 12.742 23.001 17.428 961.2
5750.0 7.0 0.166 13.12 -0.083 13.485 13.777 13.203 12.84 12.479 12.216 12.056 12.01 12.345 12.181 12.035 11.984 12.029 12.055 11.887 11.679 12.037 12.054 12.042 11.984 14.315 13.469 13.033 12.918 12.913 13.392 13.032 12.917 12.907 12.933 13.02 13.309 12.555 13.038 13.335 12.572 22.146 16.906 832.9
6000.0 7.0 0.169 12.917 -0.074 13.169 13.517 12.991 12.656 12.324 12.097 11.946 11.888 12.214 12.063 11.926 11.859 11.852 11.853 11.713 11.58 11.853 11.853 11.836 11.785 13.999 13.227 12.842 12.754 12.768 13.158 12.841 12.753 12.759 12.796 12.825 13.084 12.393 12.844 13.112 12.41 21.345 16.424 726.3
