LOGL LOGTEFF T_c Ro_c Hc Hec Con_s Con_c LogedadMyr Mass Mdot modelo LogLpp LogLcno LogLHe LogLCC intdSdt LogLnu Log_MHtot Log_HeBuf Masa_HFC Masa_HeFC log_g RR_sun LHergs SepFaseergs Teff Age
3.081842 5.542629 2.284924 7.76503 0.0 0.0 0.0 0.0 2.292122247201163 1.0984 -33.0 897020 -99.0 -99.0 -99.0 -99.0 6740.319 3.742463 -5.7927604 -5.0487721 1.0983968 1.0973133 8.5224745 0.009506 0.0 -0.0 348842.18655535846 0.0
3.080322 5.543132 2.284669 7.764485 0.0 0.0 0.0 0.0 2.292122247298137 1.0984 -33.0 897021 -99.0 -99.0 -99.0 -99.0 6723.523 3.7414181 -5.7927604 -5.0487721 1.0983968 1.0974072 8.5260059 0.0094675 0.0 -0.0 349246.44974478235 4.3751498424171587e-08
3.075121 5.54192 2.284668 7.764486 0.0 0.0 0.0 0.0 2.292122247414507 1.0984 -33.0 897022 -99.0 -99.0 -99.0 -99.0 6708.32 3.7414128 -5.7927604 -5.0487721 1.0983968 1.0974072 8.5263599 0.0094636 0.0 -0.0 348273.15484085085 9.625389907341741e-08
3.069633 5.540642 2.284666 7.764486 0.0 0.0 0.0 0.0 2.29212224755415 1.0984 -33.0 897023 -99.0 -99.0 -99.0 -99.0 6693.234 3.7414061 -5.7927604 -5.0487721 1.0983968 1.0974086 8.5267373 0.0094595 0.0 -0.0 347249.79658105306 1.5925627394608455e-07
3.063877 5.539303 2.284664 7.764487 0.0 0.0 0.0 0.0 2.292122247721722 1.0984 -33.0 897024 -99.0 -99.0 -99.0 -99.0 6677.605 3.7413981 -5.7927604 -5.0487721 1.0983968 1.0974086 8.5271367 0.0094551 0.0 -0.0 346180.81816167355 2.3485921474275528e-07
3.057902 5.537914 2.284662 7.764488 0.0 0.0 0.0 0.0 2.292122247922809 1.0984 -33.0 897025 -99.0 -99.0 -99.0 -99.0 6661.576 3.7413885 -5.7927604 -5.0487721 1.0983968 1.0974086 8.5275553 0.0094506 0.0 -0.0 345075.39993913664 3.2558324392084614e-07
3.051768 5.536489 2.284659 7.764488 0.0 0.0 0.0 0.0 2.292122248164113 1.0984 -33.0 897026 -99.0 -99.0 -99.0 -99.0 6645.321 3.7413768 -5.7927604 -5.0487721 1.0983968 1.0974086 8.5279899 0.0094459 0.0 -0.0 343944.9996813939 4.3445172082101635e-07
3.045542 5.535044 2.284656 7.764489 0.0 0.0 0.0 0.0 2.292122248453678 1.0984 -33.0 897027 -99.0 -99.0 -99.0 -99.0 6629.018 3.7413629 -5.7927604 -5.0487721 1.0983968 1.0974086 8.5284369 0.009441 0.0 -0.0 342802.5153934845 5.650942114243662e-07
3.03928 5.533593 2.284652 7.764491 0.0 0.0 0.0 0.0 2.292122248801155 1.0984 -33.0 897028 -99.0 -99.0 -99.0 -99.0 6612.83 3.7413461 -5.7927604 -5.0487721 1.0983968 1.0974086 8.5288929 0.009436 0.0 -0.0 341659.10587529326 7.218644668682828e-07
3.033045 5.53215 2.284647 7.764492 0.0 0.0 0.0 0.0 2.292122249218129 1.0984 -33.0 897029 -99.0 -99.0 -99.0 -99.0 6596.902 3.741326 -5.7927604 -5.0487721 1.0983968 1.0974086 8.5293548 0.009431 0.0 -0.0 340525.7828309165 9.099896374209493e-07
3.026893 5.530728 2.284641 7.764494 0.0 0.0 0.0 0.0 2.292122249718497 1.0984 -33.0 897030 -99.0 -99.0 -99.0 -99.0 6581.342 3.741302 -5.7927604 -5.0487721 1.0983969 1.0974086 8.5298202 0.009426 0.0 -0.0 339412.63081002224 1.1357395806044224e-06
3.020861 5.52933 2.284634 7.764496 0.0 0.0 0.0 0.0 2.292122250318938 1.0984 -33.0 897031 -99.0 -99.0 -99.0 -99.0 6566.219 3.741273 -5.7927602 -5.0487731 1.0983969 1.0974086 8.5302604 0.0094212 0.0 -0.0 338321.8134333495 1.406639114520658e-06
